 	io	non	ho	niente	da	mangiare	</S>
e	0.99525625	0.002784399	0.0015863726	0.00036433715	5.7010936e-07	5.6000937e-07	7.2966554e-06
v	0.94977206	0.028086629	0.009106032	0.0019937477	0.0014025058	0.0028652034	0.0067738113
ò	0.8693286	0.0858462	0.011690811	0.008264734	0.00046934988	0.00023248048	0.024167864
e	0.539972	0.41273737	0.034924794	0.002182677	0.000283382	0.00045398987	0.009445809
n	0.17401676	0.700996	0.07620946	0.011488808	0.010497546	0.0033588156	0.023432598
è	0.07536296	0.4308645	0.105346344	0.092478156	0.013108598	0.013147052	0.26969242
c	0.12008948	0.5383895	0.29811314	0.034497205	0.0028531027	0.0009621314	0.005095464
h	0.09253137	0.0851237	0.03998686	0.5290555	0.0036041338	0.0060320855	0.24366637
o	0.04583612	0.005069159	0.09447365	0.8447209	0.0031995915	0.004109225	0.0025914223
t	0.012749392	0.0042009987	0.039424837	0.93988544	0.002070619	0.0005878391	0.0010807491
ì	0.0048444746	0.0053617996	0.027239542	0.75619775	0.02021814	0.016394593	0.16974361
p	0.037717342	0.025698729	0.06354627	0.6927579	0.16707315	0.009313457	0.0038931041
o	0.00031808295	0.0002531634	0.0010000395	0.95838314	0.016218225	0.0018836996	0.021943614
t	0.012840813	0.0062020463	0.012903653	0.5639859	0.3035705	0.03463878	0.06585835
i	0.0015987885	0.0025632568	0.006744503	0.5823726	0.21686655	0.009954245	0.1799
n	0.020625204	0.014387486	0.020084728	0.124623016	0.52260506	0.215115	0.08255953
a	0.0061561507	0.014858447	0.02286704	0.19936107	0.41441864	0.06294073	0.27939796
f	0.031193767	0.028398767	0.02675637	0.022886515	0.2702085	0.5169475	0.103608616
à	0.0032855994	0.009901309	0.02218225	0.12337931	0.28193095	0.11430859	0.445012
o	0.0217216	0.018308384	0.022266505	0.0057097436	0.12540215	0.6846637	0.121927865
</S>	0.0029097265	0.0019411446	0.002393237	0.021090757	0.043885414	0.28106773	0.646712
