 	non	avete	mangiato	mai	un	rustico	</S>
e	0.9684336	0.031136714	0.00031278507	7.0071015e-05	5.6803683e-06	1.2690769e-05	2.8559596e-05
n	0.73431325	0.16848326	0.035412516	0.021374049	0.031608317	0.00051556586	0.008292977
è	0.11599276	0.81941736	0.016412629	0.0028750184	0.0035261507	2.9823866e-05	0.041746285
c	0.058561694	0.9008296	0.027801167	0.0069628707	0.0035334737	2.4022404e-05	0.0022871385
h	0.05894583	0.66351026	0.06146189	0.029016796	0.022017285	0.00029931273	0.1647486
e	0.08761403	0.87121356	0.029212315	0.0088953525	0.0011942975	0.000669714	0.0012007403
t	0.014079839	0.7053703	0.27523014	0.0042958264	0.00047941963	6.421988e-06	0.0005381184
e	0.009909507	0.4109428	0.35033506	0.09697968	0.032942284	0.0031843355	0.09570633
f	0.004253281	0.04651154	0.903437	0.0433386	0.002260742	3.934923e-06	0.00019495915
a	0.0037389994	0.09432877	0.7732329	0.06695625	0.019387132	0.00047025888	0.04188577
m	0.004676039	0.0202461	0.58688885	0.37643975	0.011144806	1.4912657e-05	0.0005894778
è	0.0026096753	0.04597093	0.62110615	0.24924433	0.0375226	0.0003456887	0.0432006
n	0.0035439008	0.0028655268	0.10873286	0.86643404	0.018057087	2.3744115e-05	0.0003428898
a	0.0033891723	0.028188735	0.30244088	0.46264145	0.051591918	0.004824686	0.14692314
m	0.0037023819	0.007640829	0.044551287	0.55151576	0.39065453	0.00039047742	0.0015447525
à	0.00255907	0.029291488	0.091823034	0.61486983	0.11903642	0.006969485	0.13545068
i	0.005013155	0.0030365866	0.008402255	0.27514684	0.7050896	0.0013659149	0.001945559
è	0.0003918704	0.0010958732	0.0053486503	0.052488465	0.9007043	0.003439744	0.036531024
n	0.0021903156	0.0057998053	0.0047196806	0.03913639	0.8467649	0.04509144	0.05629747
a	0.0015430027	0.0040968577	0.010524131	0.05280545	0.6306375	0.22459906	0.075793974
n	0.0010979796	0.005070977	0.011327441	0.057893798	0.68049777	0.14283773	0.10127437
r	0.003975043	0.011880876	0.00988151	0.014322294	0.104522504	0.7446717	0.110746056
ù	0.0058128624	0.0067534256	0.0033476625	0.0030879816	0.0061974954	0.75159854	0.2232021
s	0.004435295	0.0018267992	0.0053663924	0.012434046	0.17836659	0.36917725	0.42839363
t	0.0011813442	0.008936993	0.0036347467	0.010469838	0.017891245	0.88779247	0.07009336
i	0.00026761627	7.8981626e-05	0.00039150848	0.0003768587	0.00034915027	0.9945005	0.004035303
k	0.0004382573	0.0009942233	0.006567929	0.02787753	0.072923906	0.060583305	0.83061486
o	0.0018289544	0.0064501152	0.0024984102	0.0031629372	0.00631838	0.90198624	0.077755
</S>	0.009530599	0.004925455	0.012135799	0.018596303	0.29799178	0.032603525	0.6242165
