 	voglio	che	Maria	viene	domani	</S>
t	0.9896744	0.009311047	0.0009317909	5.470191e-06	1.2247558e-05	6.501407e-05
è	0.61925966	0.071655385	0.26113483	0.002887818	0.0033801047	0.041682195
l	0.80513144	0.17230318	0.018468577	0.00045785512	0.0001989218	0.0034399773
o	0.8886739	0.020082362	0.07812935	0.00047964687	0.0006028212	0.012031906
e	0.026202315	0.9214648	0.052142832	0.00017859873	1.8882089e-06	9.661357e-06
M	0.01075746	0.048466384	0.92231315	0.01654319	0.00010305133	0.0018168334
a	0.069831505	0.46241614	0.46547788	0.00020546054	4.1644304e-05	0.002027376
r	0.0911186	0.54163176	0.36210945	0.004892848	0.0001461583	0.000101138794
ì	0.08835704	0.111444525	0.7953624	0.004149992	0.00029467797	0.00039127047
a	0.6405619	0.31146616	0.02131393	0.025665382	0.00065245706	0.00034029048
n	0.006324778	0.041800126	0.42040056	0.5026735	0.013653972	0.015147147
a	0.008403361	0.13845976	0.28172264	0.44603595	0.10099865	0.024379645
r	0.14779447	0.7444079	0.029522453	0.037108995	0.03094803	0.010218219
t	0.003222296	0.073168896	0.088452004	0.23050629	0.56900287	0.035647586
i	0.7792762	0.14065778	0.0057767937	0.025999414	0.016586842	0.03170291
à	0.010685683	0.17147836	0.0828292	0.06768173	0.116298474	0.5510266
v	0.0015341315	0.0314438	0.023977071	0.24346842	0.3945981	0.3049785
v	0.0003514746	0.0067644822	0.005097181	0.013784811	0.9448312	0.029170813
r	0.020306062	0.42842624	0.08533117	0.044125624	0.14383543	0.27797547
i	0.07992975	0.7514024	0.07820124	0.015280251	0.035019733	0.040166598
</S>	0.005922762	0.069459386	0.017556088	0.009326262	0.0020504338	0.895685
