 	le	canzone	si	scrivono	alla	notte	</S>
a	0.99827147	0.0015326883	0.00016202648	1.1129721e-05	5.75968e-06	1.1531263e-06	1.5699256e-05
t	0.79791003	0.09642515	0.021120958	0.052144323	0.0055136546	0.0044970484	0.022388943
r	0.69387245	0.2151642	0.03756296	0.016387936	0.0015383833	0.0015670342	0.03390703
a	0.48498735	0.48864433	0.01730921	0.0044898205	0.0018536847	6.885227e-05	0.0026467945
ù	0.17612273	0.8148117	0.006231859	0.0017474154	5.9057158e-05	8.242603e-06	0.0010189415
d	0.089237414	0.85829175	0.014664013	0.03526637	0.00045020398	0.00018290465	0.0019072529
i	0.03342531	0.33680096	0.30230618	0.20555203	0.0025524714	0.012083082	0.10727997
a	0.19283886	0.42316765	0.29483068	0.08503838	0.0020510603	3.0807158e-05	0.0020426365
g	0.010107523	0.09034763	0.42514065	0.45548555	0.016399536	0.00042652644	0.0020925903
r	0.017077923	0.05890751	0.31263518	0.57160467	0.025618544	0.0011076523	0.013048482
à	0.04716699	0.09816948	0.124283865	0.38576674	0.1837988	0.013751008	0.14706317
f	0.01783951	0.012315351	0.043834683	0.8500214	0.07427319	0.00046097572	0.0012548714
u	0.014253968	0.0075906375	0.10560918	0.579768	0.157368	0.013191059	0.122219145
t	0.018484253	0.018202828	0.014301708	0.16877079	0.7655861	0.0023462046	0.012308079
t	0.0027953908	0.005659064	0.02279884	0.1110523	0.5764453	0.03908558	0.24216364
e	0.01080317	0.009988859	0.001635973	0.003673172	0.69326943	0.09839476	0.18223466
t	0.009260032	0.02780264	0.018682096	0.08990401	0.60728145	0.061074384	0.18599539
s	0.005708077	0.00494146	0.011996131	0.038406458	0.23971826	0.11985804	0.5793716
e	0.022399584	0.02604232	0.003666005	0.008461548	0.33203247	0.32080832	0.28658977
n	0.009581937	0.012279637	0.011260635	0.033925205	0.17487106	0.37894717	0.37913442
ì	0.016150115	0.013398331	0.011654478	0.016787827	0.19042449	0.18632676	0.565258
t	0.012608167	0.0062695188	0.011043944	0.010837712	0.052410007	0.7342124	0.17261827
t	0.0040286737	0.0023801613	0.004094195	0.004496073	0.042483017	0.6715767	0.27094123
a	0.0026603474	0.0019049314	0.0007059986	0.00077905343	0.010937098	0.9271203	0.055892248
</S>	0.0018634555	0.0046094144	0.0063238507	0.011894176	0.057001136	0.2334814	0.6848266
