 	l'	ho	sentito	che	viene	</S>
o	0.98539203	0.008702778	0.0058835256	6.434521e-06	2.226201e-07	1.50084115e-05
n	0.35376546	0.2464342	0.26115587	0.030239962	0.0189272	0.08947735
ì	0.03477521	0.14389391	0.18722413	0.026490262	0.0024846029	0.60513186
k	0.048042428	0.42494628	0.3701908	0.05206754	0.02921407	0.07553884
u	0.015481321	0.120476216	0.1754069	0.2786701	0.015611617	0.39435384
s	0.09644519	0.12422172	0.30552277	0.41682702	0.033862986	0.023120282
a	0.0051414957	0.040642276	0.050337963	0.6280288	0.0745835	0.20126593
n	0.02825662	0.024538424	0.0221219	0.53233206	0.376839	0.015911965
a	0.0026365416	0.04553466	0.0052717132	0.34150687	0.425663	0.1793872
r	0.018437007	0.017462268	0.0033862337	0.071006335	0.8597935	0.029914761
t	0.00073459937	0.017098371	0.0030238875	0.080890365	0.7617169	0.13653588
i	0.16651624	0.11161305	0.02373737	0.10844219	0.1729669	0.4167242
</S>	0.009006273	0.024253514	0.0183734	0.070312485	0.36598128	0.51207304
