 	è	possibile	che	è	entrato	da	qui	</S>
i	0.99788195	0.000746814	0.0004060063	5.7835812e-05	0.0008947664	1.1626668e-06	4.1922797e-07	1.0968198e-05
s	0.81638825	0.11994309	0.007651877	0.029362269	0.0029756953	0.0075479266	0.0054648067	0.010666136
o	0.46366957	0.3222472	0.024685346	0.028045911	0.046976797	0.0027774484	0.00061947014	0.11097825
g	0.10546266	0.88576835	0.0014340773	0.0013555303	0.005414149	0.00010809214	1.5844596e-05	0.0004412362
g	0.096702866	0.7839296	0.023378137	0.030149855	0.0135059785	0.0039019042	0.0005139603	0.04791775
è	0.030518869	0.48909628	0.0231675	0.011974574	0.43217564	0.0029317718	0.00020760816	0.009927776
s	0.14185305	0.38620383	0.23125273	0.07296321	0.15815166	0.0016619767	0.000119867334	0.0077937786
t	0.014018113	0.18067174	0.30657336	0.115482464	0.33227706	0.0028058384	0.003770228	0.044401206
e	0.010185952	0.023696678	0.697802	0.047441367	0.19522531	0.01766869	0.0009045648	0.0070754704
k	0.013285789	0.01757307	0.691127	0.1956554	0.074546464	0.0044350307	3.8275986e-05	0.003338935
a	0.002875616	0.016293036	0.30180997	0.08978759	0.5415406	0.0112916	0.007978839	0.028422756
m	0.034538474	0.02787543	0.03691303	0.60428953	0.14722762	0.14766501	0.0002639974	0.0012268985
b	0.0012675968	0.0072787344	0.021527577	0.07714283	0.82533324	0.021624545	0.0017179846	0.044107426
ì	0.030079158	0.0055796937	0.077954695	0.11276561	0.71043605	0.04488306	0.0024081657	0.015893558
k	0.0043605696	0.003371802	0.009953767	0.28429538	0.026275015	0.6492554	0.0015294855	0.020958617
e	0.00417678	0.012563971	0.03846255	0.08297799	0.6654614	0.06961958	0.03744283	0.08929486
a	0.05530253	0.013601788	0.016247537	0.16385005	0.024401367	0.62263167	0.08957567	0.014389346
p	0.0039832573	0.022831522	0.004562265	0.034090742	0.015348757	0.81548715	0.07440296	0.029293308
ò	0.009792974	0.045311347	0.008448656	0.032864135	0.0078583695	0.63209176	0.17437714	0.08925564
t	0.01999747	0.01896814	0.014078648	0.0202907	0.01761542	0.48159078	0.36068586	0.06677301
t	0.0015802275	0.0047973855	0.0037577767	0.00857205	0.0032667534	0.026273658	0.9283803	0.02337182
u	0.027964886	0.0024419953	0.0778379	0.048951656	0.025734859	0.017553022	0.5704839	0.22903174
</S>	0.0023444942	0.0027439562	0.0018705804	0.019350993	0.002410819	0.064000726	0.45418578	0.45309255
