 	quando	venne	arrivò	Giovanni	Anna	ancora	aveva	di	cucinare	</S>
m	0.98859894	0.010342253	0.0006999757	0.00035516982	3.3195707e-07	9.944956e-07	2.6378035e-07	2.3041629e-07	1.8101372e-07	1.5404341e-06
ò	0.06343971	0.3400041	0.058338895	0.52558273	0.00091503194	0.0027203728	0.0014158236	0.0018299147	0.00041592697	0.005337449
t	0.20693165	0.6486302	0.051850025	0.07660379	0.001940618	0.0010875826	0.0023256466	0.00046307256	0.00036420455	0.009803163
t	0.3578479	0.48380142	0.007423479	0.08334705	0.0005438965	0.0014818673	0.0006044413	0.00023481387	0.0015808002	0.063134275
i	0.9002838	0.06824629	0.030171724	0.00097026635	0.000110797104	5.278351e-05	6.987139e-05	3.5977933e-05	5.9271742e-06	5.252951e-05
ì	0.058875646	0.90521777	0.034499753	0.0013911902	1.6498536e-06	2.8468362e-06	2.2786812e-06	1.1169985e-06	4.4237404e-07	7.3648966e-06
r	0.003798569	0.91207886	0.07507606	0.008714494	0.00013137278	2.6330568e-05	7.0799164e-05	4.60856e-06	2.4551064e-06	9.645072e-05
t	0.23197378	0.50000036	0.06582275	0.076445244	0.0068376656	0.0032667965	0.0030845015	0.00035096775	0.009038751	0.10317918
e	0.28029168	0.19983459	0.49979523	0.01538677	0.00094618014	0.0009551457	0.0006452329	0.0005644194	0.00040578088	0.0011749075
è	0.009599263	0.12878604	0.8537289	0.007845633	6.8206036e-06	7.4413038e-06	2.3090083e-06	2.6402615e-06	1.7960739e-06	1.9112591e-05
t	0.00058103364	0.03462888	0.89246815	0.07071935	0.0011279621	4.1660653e-05	0.00025058116	1.0008689e-05	7.1800337e-06	0.0001652487
t	0.0052189124	0.02973396	0.82220125	0.106759794	0.023349872	0.0015245636	0.0018617045	0.00013236066	0.0013442517	0.007873374
a	0.10172472	0.008882168	0.86649764	0.012798142	0.00033308365	0.0011498095	0.0005626904	0.0008029341	0.0015128879	0.005735885
s	0.0037038233	0.029042644	0.7707838	0.1963199	3.1769006e-05	3.8860922e-05	5.3496715e-06	1.0527886e-05	7.4278923e-06	5.5990207e-05
e	0.0052982145	0.034400143	0.84469897	0.09100061	0.0031197697	0.0055420855	0.00067388825	0.0014177714	0.0022818216	0.011566758
o	0.017475968	0.030450376	0.31925267	0.6315075	0.0008282564	9.734051e-05	6.109769e-05	7.533155e-05	0.00012903752	0.00012229233
G	0.00038168553	0.006714303	0.06417832	0.9171844	0.010675586	0.00033206082	0.0003587362	4.4000855e-05	1.3212209e-05	0.000117735784
i	0.0012308244	0.0070058075	0.16734791	0.8184392	0.0018690536	0.0006467246	0.0007770501	0.0005445858	0.00031944207	0.0018193633
u	0.17296833	0.26324502	0.33641723	0.22083789	0.0042631356	0.0009926831	6.762396e-05	0.0004428229	0.00037402473	0.00039126756
v	0.0022543338	0.019057965	0.053989302	0.87725306	0.044806663	0.0007048539	0.0008216627	0.00030974764	0.00011965405	0.00068275165
à	0.0033202525	0.026792953	0.06014171	0.690835	0.20832352	0.0032054551	0.0027737373	0.001050073	0.00022721553	0.003330083
n	0.004832528	0.0047888015	0.008064477	0.023115419	0.9470053	0.0038751098	0.004156391	0.001508025	0.0005877177	0.0020661526
n	0.0154494345	0.0073026763	0.0062018516	0.046629455	0.8146445	0.031461768	0.007244099	0.0020049762	0.04316124	0.025899991
i	0.39835382	0.013159103	0.06408228	0.009423933	0.029828649	0.026632437	0.0033673376	0.019904701	0.15087403	0.2843737
e	0.06391174	0.060630634	0.11377143	0.2483735	0.20526929	0.20242868	0.0116101755	0.029345172	0.0072263125	0.05743303
A	0.0005307639	0.0052229604	0.0037362177	0.046436567	0.6889382	0.17826624	0.051255357	0.013874183	0.005054276	0.006685213
n	0.0023529776	0.004877508	0.0041483715	0.0065534906	0.7428168	0.06461874	0.116749704	0.045635115	0.0065868814	0.005660448
n	0.001253439	0.0016837888	0.0009997592	0.0054089343	0.64038855	0.22808273	0.06278391	0.0133577045	0.041112777	0.0049284003
a	0.06351526	0.018658383	0.03268034	0.003160749	0.037855104	0.02969457	0.008293322	0.04657466	0.26217103	0.4973965
a	0.004783213	0.0035958479	0.0029283788	0.006843754	0.011487887	0.67965734	0.106429696	0.15138645	0.009805114	0.023082346
n	0.00012869565	0.0015228785	0.0006830355	0.003466424	0.032784235	0.6039615	0.2763777	0.06012063	0.014262345	0.00669251
k	0.0032467495	0.012256557	0.0035461856	0.008128633	0.034466524	0.6957893	0.09033964	0.05748397	0.06362021	0.031122206
ò	0.09552563	0.009469271	0.0144346515	0.0017191309	0.0058630886	0.11219596	0.007816586	0.10803223	0.4080567	0.23688671
r	0.00403164	0.00108913	0.00067032	0.00045998572	0.00060901925	0.72579694	0.022497255	0.20908913	0.0134488	0.022307752
a	0.005861681	0.0051570865	0.0023025426	0.008157945	0.03359485	0.50777364	0.075822555	0.067228064	0.17414965	0.11995195
ì	0.009496115	0.0033313285	0.0018455036	0.0013976893	0.00074942247	0.48256102	0.025353638	0.35366282	0.09011219	0.031490285
c	0.0012441989	0.0018413318	0.0015205737	0.002328046	0.0015682061	0.027642682	0.12709548	0.562618	0.25297898	0.021162508
h	0.027806006	0.008893829	0.004645058	0.0057298806	0.0026433056	0.049737863	0.1281583	0.2913382	0.40537816	0.075669385
e	0.094609894	0.00085562706	0.0018164518	0.0002275275	0.005967082	0.4258426	0.02935275	0.14561066	0.13836686	0.1573505
n	0.0016717833	0.0011312865	0.0006163069	0.0008491355	0.00063517335	0.06177033	0.04482831	0.3984765	0.11965211	0.37036902
a	0.020772524	0.041049544	0.014347935	0.0072618136	0.0013516113	0.04059286	0.021227544	0.08654749	0.45055115	0.3162975
m	0.0045442455	0.004347263	0.002484089	0.0024939994	0.0027711408	0.03720236	0.040292878	0.26076603	0.4465861	0.19851185
a	0.008428026	0.010357537	0.0042507653	0.0038752784	0.0015025877	0.06413127	0.042750344	0.1372624	0.6090828	0.11835896
r	0.001593297	0.0026409165	0.0015663261	0.002164672	0.0019741503	0.011702596	0.03828489	0.117411025	0.42240706	0.4002551
è	0.0074338103	0.014004488	0.0040070647	0.004418259	0.0012298959	0.03494106	0.018952752	0.08828709	0.7496192	0.077106416
s	0.0013726708	0.0010488811	0.0008222914	0.0007063923	0.00044891948	0.0047597047	0.003910875	0.042529806	0.8394167	0.104983784
s	0.0073102503	0.020965522	0.0070725717	0.0030613826	0.0005774077	0.032083347	0.03151385	0.1324554	0.6573738	0.10758651
