 	non	sono	andati	</S>
e	0.9567004	0.04046289	0.00018522503	0.0026515252
n	0.8400449	0.049467217	0.03763367	0.072854154
è	0.37706667	0.21065941	0.054672573	0.3576013
c	0.114850506	0.73547554	0.10263772	0.04703628
h	0.031347908	0.070772864	0.35827124	0.539608
u	0.10236197	0.3902693	0.43898934	0.06837928
n	0.04367601	0.24678029	0.39775294	0.31179073
e	0.018450957	0.10080647	0.73229665	0.14844601
p	0.0350948	0.048325215	0.59449565	0.3220844
a	0.00081373745	0.011035759	0.5519272	0.43622327
m	0.0070583797	0.014173369	0.49823576	0.48053247
è	0.0006307614	0.010507453	0.7134119	0.27544984
n	0.017512044	0.017044919	0.46049842	0.50494456
a	0.0015724333	0.027319884	0.88128924	0.089818485
</S>	0.0012715852	0.0019448622	0.10396922	0.8928144
