 	qui	dentro	vuole	un	tappeto	</S>
e	0.9988656	0.0011217893	2.9818934e-06	2.6534462e-06	2.6288126e-06	4.3633017e-06
t	0.9363196	0.017148335	0.010984373	0.030021759	0.0005337137	0.0049921875
t	0.7312646	0.12717548	0.011055963	0.010192689	0.0011166228	0.1191947
ù	0.62108654	0.37703675	0.0004753596	0.00087388535	5.2174288e-05	0.00047522385
m	0.3973018	0.58913606	0.009120759	0.0023935572	4.3321677e-05	0.0020045768
è	0.050752938	0.8330827	0.027356619	0.0065206266	0.0024045522	0.07988244
s	0.05110556	0.90872353	0.03708743	0.0028988677	1.4545108e-05	0.00017004572
a	0.03329356	0.7747806	0.15396181	0.006670531	0.0011765863	0.030117005
t	0.19211963	0.5041113	0.1849682	0.11721306	0.00030976208	0.0012780448
è	0.0032594986	0.13681892	0.79885834	0.01655344	0.001285839	0.043223966
l	0.008318234	0.02252298	0.8302162	0.13739356	0.00040997233	0.0011390054
i	0.007321725	0.16424884	0.6982962	0.024789363	0.0046615386	0.10068227
è	0.008334108	0.017944535	0.014431799	0.9473916	0.009805086	0.002092866
n	0.0023776973	0.0040763565	0.0847373	0.87857556	0.021540431	0.008692636
a	0.0011636937	0.0217876	0.10544792	0.7476012	0.04636504	0.07763457
t	0.0010507475	0.004161309	0.008859859	0.6699046	0.29996124	0.016062222
a	0.0015655372	0.026674366	0.07768563	0.4270934	0.36638486	0.10059627
p	0.0018266405	0.0037338557	0.006033219	0.19366279	0.7656357	0.029107753
p	0.0003146752	0.0031440838	0.0037564929	0.07008178	0.8650508	0.057652153
è	0.00075717346	0.01213099	0.0051314873	0.021936553	0.7935368	0.16650702
t	0.0010293635	0.00211434	0.00510725	0.0849017	0.49129575	0.41555163
o	0.0015107774	0.011282067	0.08030679	0.19096841	0.59238267	0.12354931
</S>	0.0016612173	0.0026315893	0.008978153	0.13734819	0.1069629	0.74241793
