 	ho	finito	di	scrivere	</S>
s	0.9875965	0.011983504	0.00014857254	2.913722e-05	0.00024237027
p	0.16520952	0.15738173	0.12246862	0.30901992	0.24592017
ì	0.10575064	0.7799307	0.09956233	0.0023322932	0.012423988
c	0.060251266	0.8783207	0.04617775	0.001870625	0.013379654
c	0.0096927285	0.8483677	0.038745895	0.01439739	0.08879627
e	0.02519218	0.63510793	0.12689711	0.10668237	0.106120355
t	0.37542537	0.27143046	0.34828854	0.0009471292	0.0039084344
s	0.0041110176	0.88119304	0.06613907	0.02594284	0.022613984
a	0.14474869	0.13233806	0.5527856	0.076075904	0.09405177
à	0.013354879	0.02634594	0.92044234	0.0054023284	0.03445448
t	0.0124361655	0.008468484	0.91477907	0.035612207	0.028704027
s	0.028748166	0.08527095	0.15836097	0.53870237	0.18891755
e	0.05351024	0.2008858	0.06314296	0.071022585	0.6114384
g	0.02944546	0.010150104	0.3608709	0.018119391	0.5814141
r	0.011458671	0.0501482	0.18078893	0.4779827	0.2796215
à	0.044120308	0.13278708	0.3905927	0.05959927	0.37290064
t	0.021808168	0.0023634634	0.025254505	0.78963166	0.16094212
s	0.015138779	0.01668547	0.049405787	0.595789	0.32298097
i	0.050359704	0.04609325	0.042456713	0.78514934	0.075940944
</S>	0.004351956	0.0015413433	0.06669388	0.28579187	0.641621
