 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.99073875	0.0048230584	0.0042191613	9.2796094e-05	7.279878e-05	3.3770833e-05	1.5513367e-06	1.52147695e-05	8.530371e-07	2.1168827e-07	1.838651e-06
v	0.8862752	0.030656891	0.021619437	0.01511308	0.01472316	0.012931088	0.012792112	0.0007436588	0.001635158	0.00071051565	0.0027996902
ò	0.78992087	0.14484863	0.049617786	0.0023227772	0.0026169638	0.0025587138	0.00074301823	9.516839e-05	0.00011595823	2.6188809e-05	0.0071339854
e	0.35735807	0.5064079	0.098330565	0.007961206	0.012028626	0.011426752	0.0021977224	0.000101960584	0.00018394768	2.7215263e-05	0.003976028
n	0.11807845	0.69791734	0.1192939	0.03823595	0.00507658	0.004275527	0.004793176	0.00018365696	0.00044603174	0.00010307576	0.011596213
ì	0.08416415	0.41943008	0.1330349	0.05351322	0.021366451	0.02667033	0.030826978	0.0005950233	0.0015720244	0.00075886375	0.22806802
m	0.106642544	0.4564957	0.29917115	0.075318456	0.035497155	0.019758698	0.0034124535	0.00018901669	0.00033111888	4.1648604e-05	0.0031421725
e	0.028849648	0.13255526	0.19979034	0.27703032	0.053711105	0.05406803	0.0654602	0.00081462605	0.0024119548	0.009353662	0.17595488
g	0.050641887	0.04873516	0.2839841	0.4360783	0.15171768	0.025798755	0.0021467379	2.831198e-05	0.00013390639	1.071832e-05	0.00072431855
r	0.0060224603	0.025453808	0.03322208	0.5195824	0.24681573	0.07206515	0.063537315	0.0014469246	0.0041319528	0.00059482385	0.02712742
a	0.044545002	0.018038344	0.026039751	0.14933805	0.43907776	0.2518566	0.023913292	0.0053844457	0.014891781	0.0010420028	0.025872948
m	0.010430275	0.009951294	0.021204337	0.13965699	0.727716	0.08711086	0.0032156657	0.00012653123	0.00022230146	4.9265273e-05	0.00031646824
m	0.0057268892	0.022491766	0.023501394	0.20224142	0.43488905	0.118230835	0.10103024	0.0019355904	0.0056901854	0.009793611	0.07446907
è	0.012106157	0.0015975639	0.005457885	0.049160168	0.6711886	0.124300525	0.0026144497	0.09860801	0.011618873	0.0026363402	0.02071142
n	0.0016777378	0.0016468329	0.005770996	0.019795628	0.75106	0.2113903	0.0057131583	0.0017832689	0.0006331333	5.1450963e-05	0.00047746036
a	0.0062164366	0.014700034	0.025516124	0.052661125	0.42342338	0.15673846	0.06909715	0.025897894	0.021280974	0.102009565	0.10245888
m	0.0048914277	0.0037481745	0.010371717	0.009254368	0.28453597	0.5782599	0.089847565	0.014446525	0.003771289	0.000698588	0.00017451913
a	0.006849221	0.017632244	0.027079947	0.011261924	0.2595319	0.4055855	0.1575934	0.01813139	0.015725791	0.012616972	0.06799181
i	0.0036689935	0.0047787186	0.00605231	0.0019232549	0.093066685	0.5729111	0.26995206	0.020831699	0.024431305	0.0011728792	0.0012109868
a	0.003972507	0.0051411586	0.007354457	0.0010670986	0.033550505	0.39848465	0.387997	0.07050078	0.084086314	0.004282314	0.0035631794
n	0.0072545107	0.008856999	0.012299457	0.0014029907	0.024234246	0.23500144	0.37911922	0.122565664	0.19606702	0.0069563314	0.0062420554
g	0.0041763186	0.012104498	0.01610758	0.0046398453	0.019927971	0.07025351	0.64292306	0.088060595	0.05188742	0.04272272	0.0471965
r	0.013272066	0.0082506435	0.01181045	0.0040648244	0.01474359	0.03971345	0.0095568495	0.75200593	0.07511884	0.023068957	0.04839438
à	0.007318037	0.0035480186	0.0058589447	0.0025309026	0.019048702	0.064367965	0.021550955	0.64203876	0.10755099	0.021087756	0.10509891
m	0.0024685988	0.0029295422	0.00496742	0.004261681	0.012726074	0.0236511	0.44574377	0.1817393	0.2919428	0.017237058	0.012332605
m	0.0011611894	0.0030451408	0.006897232	0.0012688044	0.0028393418	0.009062148	0.35832006	0.10155054	0.098487005	0.3525536	0.06481489
a	0.0023874063	0.00089986087	0.004788781	0.0022293262	0.0026178055	0.0030365482	0.0032621583	0.8220344	0.024802702	0.07594013	0.05800076
t	0.0008643289	0.0013845989	0.002195738	0.00091364654	0.009587338	0.023215648	0.024126114	0.118791975	0.50153476	0.09375655	0.22362934
a	0.0030023735	0.0057094293	0.018912146	0.0032903282	0.006595736	0.0085378615	0.08334266	0.14437944	0.0780768	0.38364542	0.26450777
d	0.0034043628	0.005770728	0.006317629	0.0025778566	0.009584373	0.024694074	0.042538084	0.05035059	0.5669187	0.18686491	0.10097868
e	0.005048367	0.013057244	0.024468282	0.0025193389	0.004495256	0.009379414	0.024721788	0.027202968	0.16551766	0.4536138	0.26997593
r	0.003913666	0.0057923975	0.0058343993	0.0019253133	0.0046071485	0.009126122	0.009483776	0.024547324	0.48094958	0.29042655	0.16339377
f	0.002839613	0.0072984276	0.016816996	0.0018288508	0.002048362	0.003940326	0.011245812	0.007909999	0.05988681	0.81564325	0.0705415
ù	0.012020049	0.018509265	0.04389702	0.008662961	0.023505	0.017081352	0.0075634415	0.17041855	0.12648402	0.32760093	0.24425744
m	0.0021514732	0.002821489	0.003253205	0.0023695126	0.0025632808	0.0041334135	0.011320774	0.018475661	0.16004494	0.55465907	0.23820715
m	0.0024137483	0.0079175085	0.021641312	0.001726102	0.00080327556	0.0010398832	0.005794974	0.004308367	0.023828363	0.8611777	0.06934869
u	0.005240674	0.0018806912	0.011239528	0.0055400897	0.007771025	0.0031345063	0.0017336846	0.1367797	0.047482714	0.6698819	0.10931558
</S>	0.00052648917	0.0010853895	0.0012117497	0.000329013	0.0011054213	0.0031695978	0.0035893444	0.006192026	0.04479338	0.060500108	0.87749743
