 	questo	muro	vuole	uno	specchio	</S>
c	0.99951446	0.00048274596	1.9408444e-07	2.2198276e-06	8.202627e-08	1.4631023e-07
ì	0.98504525	0.014666776	2.3784525e-05	7.350135e-06	2.0620935e-06	0.0002545423
t	0.90547407	0.080341674	0.00045977646	0.004482986	0.0003376775	0.0089037735
t	0.7933741	0.1927343	0.00075984275	0.0005822381	0.00023506381	0.012314437
o	0.9883626	0.009175021	0.00020816317	0.00027315758	0.00020035682	0.0017806881
t	0.76871675	0.2260811	0.004048539	0.00028655812	8.124115e-05	0.0007856929
ì	0.07474534	0.7165719	0.12546968	0.0058929427	0.007563085	0.06975708
c	0.3204334	0.59873	0.07768219	0.0023366702	0.00016899305	0.0006486867
h	0.2756258	0.4419163	0.08927354	0.07110713	0.0054522194	0.11662507
o	0.99524045	0.0035745618	0.0006170286	0.00033820135	8.223283e-05	0.00014745693
t	0.26884565	0.5825967	0.12415396	0.020612244	0.0017499066	0.0020414803
è	0.001575464	0.013896296	0.8747209	0.014786423	0.025395341	0.06962562
l	0.044695232	0.12474697	0.74287105	0.05684245	0.0070077046	0.023836672
i	0.008467687	0.04445232	0.89972955	0.0022139044	0.0059339325	0.039202686
è	0.31842127	0.48657396	0.12899156	0.021654824	0.009191767	0.0351667
n	0.007920376	0.038407594	0.07713344	0.02646198	0.09805338	0.7520232
a	0.0082589835	0.10058255	0.18336126	0.111640565	0.33652785	0.25962877
n	0.009302238	0.12420591	0.0660527	0.15209438	0.06621583	0.5821289
j	0.0030324021	0.07970971	0.032553382	0.27266428	0.30188408	0.31015617
a	0.0836077	0.0071077924	0.039536875	0.0054030684	0.048781313	0.81556326
l	0.00058389624	0.012209537	0.007939543	0.2611418	0.19069482	0.5274304
ì	0.002059135	0.058372818	0.03621954	0.06674999	0.38848487	0.44811365
</S>	0.0010148265	0.0056796353	0.0028509216	0.0063229348	0.025790488	0.95834124
