 	non	aveva	cosa	a	fare	</S>
e	0.99659663	0.00262167	0.00059677754	9.329946e-05	7.2358357e-06	8.448008e-05
n	0.79148144	0.16900559	0.002382592	0.0020448698	0.010395917	0.024689596
ì	0.08763557	0.6683052	0.0062485463	0.002021199	0.035119943	0.20066951
c	0.010323334	0.9519529	0.0041607893	0.00011854421	0.018712493	0.014731962
h	0.22221898	0.030495418	0.10562434	0.0066417404	0.36446097	0.27055863
e	0.048131026	0.14438072	0.73403305	0.019569065	0.040361892	0.013524271
t	0.005363542	0.014612888	0.909853	0.040266063	0.009058759	0.020845698
i	0.0026159352	0.0064127655	0.6203415	0.08800571	0.24498355	0.03764054
k	0.0061524664	0.0006553921	0.08014991	0.75441474	0.1255555	0.033071928
à	0.0031607298	0.1326265	0.042803865	0.05278094	0.40926376	0.3593642
m	0.21477596	0.018124454	0.052719574	0.3198235	0.2873476	0.107208915
i	0.00043728724	0.01660493	0.0142953675	0.07754994	0.58643043	0.30468208
</S>	0.005590833	0.0014090467	0.011282473	0.031408392	0.1485852	0.8017241
