 	si	è	rotta	la	coppa	</S>
e	0.9313255	0.06473252	0.002842874	0.0007742574	1.4237283e-05	0.00031066124
g	0.6167391	0.25614572	0.04842939	0.041567903	0.004746988	0.03237095
l	0.1110856	0.17579615	0.045636352	0.0286799	0.06001804	0.5787839
à	0.0061415387	0.0051238583	0.0065348228	0.74123573	0.103132635	0.13783139
s	0.09331433	0.1398604	0.11703854	0.5723584	0.024518577	0.05290969
t	0.011245957	0.019295404	0.24912737	0.14791274	0.34033784	0.23208073
i	0.06490537	0.0052218284	0.42131937	0.48301232	0.0008650964	0.024676055
e	0.0025657872	0.024298953	0.007053153	0.92381775	0.004922209	0.03734215
c	0.002568663	0.015818156	0.001616981	0.79564565	0.13825998	0.046090633
ò	0.0009893266	0.0010368628	0.0003972543	0.01905015	0.9292247	0.049301617
p	0.041965142	0.07039383	0.010218104	0.72562325	0.124706514	0.027093144
p	0.00016352383	0.000301132	0.00031671487	0.026724285	0.91926306	0.05323136
a	0.037473015	0.025322303	0.06295967	0.5293849	0.14797296	0.19688714
</S>	0.0021573463	0.0056296666	0.0015433542	0.11402207	0.116133094	0.76051444
