 	non	deve	magniare	la	sera	</S>
e	0.9852047	0.012216082	0.0023804225	6.487902e-05	7.5119756e-06	0.0001265368
n	0.7326412	0.22446577	0.022060268	0.006919481	0.0035991326	0.010314117
è	0.1761859	0.7146582	0.00512628	0.0014812065	0.000651364	0.101897
n	0.048493333	0.93535817	0.010158485	0.0020290269	0.00014858464	0.003812303
a	0.0565989	0.6102619	0.004125387	0.003832671	0.029845301	0.2953358
f	0.013210622	0.89723194	0.07929016	0.007515322	0.00034645133	0.0024055038
à	0.029830817	0.38363135	0.077934235	0.07420848	0.0354052	0.39898998
i	0.0884028	0.25686684	0.51043165	0.13785408	0.0007902045	0.0056544426
t	0.002727191	0.049254205	0.493071	0.382356	0.032893963	0.039697696
o	0.0017844015	0.052425973	0.29520085	0.409073	0.04688596	0.19462985
v	0.0021355678	0.053900845	0.29247266	0.60330606	0.035468172	0.012716597
r	0.0020916362	0.026067913	0.06782022	0.535356	0.15203466	0.21662955
à	0.0044135414	0.023215968	0.04702301	0.16321573	0.072047405	0.69008434
i	0.0182685	0.020614592	0.06799112	0.42611247	0.35673216	0.11028116
</S>	0.0010460545	0.00789032	0.020275261	0.06737432	0.43498078	0.4684333
