 	vengono	vestiti	</S>
è	0.99445	0.00010849319	0.0054416317
r	0.7156762	0.21642424	0.06789955
k	0.80996084	0.074472025	0.11556717
u	0.37253362	0.58634317	0.041123156
t	0.18884906	0.6830528	0.1280981
t	0.08741748	0.7598234	0.1527592
e	0.17714313	0.7509641	0.07189272
n	0.012068875	0.50604475	0.48188636
d	0.026213463	0.7875226	0.18626398
i	0.26890886	0.49824825	0.23284288
m	0.005170929	0.37055263	0.62427646
è	0.0025590677	0.6802057	0.31723526
n	0.0020542538	0.043837164	0.95410866
a	0.0048494437	0.88603115	0.109119356
</S>	0.0014477295	0.021463314	0.977089
