 	la	pasta	vuole	sale	</S>
i	0.99852836	0.0014532665	1.3535996e-06	1.0963602e-06	1.592496e-05
p	0.91126025	0.017323935	0.032175288	0.008854316	0.030386163
à	0.49835953	0.2966517	0.009566769	0.003259374	0.19216265
s	0.50116545	0.34912214	0.07824306	0.0073582893	0.06411105
t	0.05366881	0.82260627	0.076745234	0.009672835	0.037306845
a	0.057133283	0.93521255	0.005052997	0.0003938398	0.002207331
ì	0.09309413	0.853643	0.046706125	0.0005757973	0.005980967
t	0.016068175	0.05057829	0.796641	0.11281533	0.023897326
e	0.000432353	0.0029777128	0.9713468	0.019123513	0.006119626
l	0.063251086	0.027915899	0.08969334	0.75776255	0.061377123
e	0.0029073523	0.013376772	0.6142413	0.18400687	0.18546773
à	0.011287951	0.005579969	0.017343335	0.9076094	0.058179274
l	0.018693782	0.012075357	0.015512551	0.89504397	0.05867432
a	0.0008782692	0.0016624902	0.07078222	0.8798214	0.046855543
</S>	0.0029713765	0.003152594	0.014170939	0.47454125	0.50516385
