 	non	ho	cosa	a	fare	</S>
e	0.97176796	0.023635432	0.004299288	0.00012632621	1.4139077e-05	0.00015683666
n	0.9094316	0.032696914	0.0032252572	0.0015609761	0.015847076	0.037238114
è	0.27888346	0.13547584	0.036502868	0.004148892	0.0956647	0.4493243
c	0.12826596	0.6365137	0.10091771	0.0010607518	0.06516278	0.068078935
h	0.08254711	0.04912073	0.06335304	0.0022709793	0.34000364	0.46270448
o	0.0048730494	0.0036072624	0.975771	0.0038996479	0.009530209	0.0023188065
t	0.0145228775	0.053873505	0.80252993	0.07100409	0.018526144	0.0395435
i	0.0032818406	0.00932238	0.34809336	0.14542735	0.42396727	0.069907814
k	0.015587307	0.031832617	0.03113967	0.70911014	0.16626318	0.046067007
à	0.004693499	0.044773083	0.026350286	0.062208746	0.44960433	0.41237006
m	0.26928735	0.20003131	0.020468453	0.1155698	0.30948442	0.08515863
i	0.00067652704	0.008581307	0.009213258	0.08038902	0.5781251	0.32301477
</S>	0.012946518	0.021989735	0.0087111415	0.016156385	0.15399925	0.78619695
