 	ora	ho	finito	di	scrivere	</S>
à	0.9985605	0.0013296063	6.908815e-05	5.730305e-06	2.597618e-06	3.2496762e-05
r	0.9419872	0.0018489001	0.0039504617	0.010721599	0.022461636	0.019030223
t	0.25799793	0.029287815	0.033729557	0.024937715	0.10555815	0.5484888
e	0.12384651	0.6423904	0.15875368	0.055199098	0.00207093	0.017739393
s	0.07170137	0.71445775	0.20463058	0.0076750303	3.718805e-05	0.0014980248
p	0.02306298	0.08971022	0.6407309	0.11726821	0.030590935	0.0986367
ì	0.081492744	0.20488632	0.5323993	0.1010419	0.005331159	0.07484854
c	0.0037147473	0.090830706	0.882226	0.020695372	0.00023764011	0.002295499
c	0.006119353	0.017863154	0.815344	0.058722034	0.019915221	0.08203631
e	0.06218561	0.034344696	0.6861973	0.08019642	0.063058995	0.07401702
t	0.11651599	0.075511366	0.33543453	0.46910894	0.0006575821	0.0027715964
s	0.010786103	0.0081521375	0.8646973	0.05014093	0.032408725	0.03381477
a	0.018945025	0.013130459	0.09364244	0.6383096	0.15152925	0.08444319
t	0.0034240123	0.0077908686	0.026632383	0.90273196	0.008968154	0.05045268
s	0.01270448	0.025201755	0.2535762	0.15610877	0.23362425	0.3187846
e	0.024516506	0.021255404	0.05503682	0.13009548	0.39149013	0.37760565
g	0.0080916	0.016548278	0.008465296	0.5665227	0.077327795	0.32304436
r	0.031019913	0.015409164	0.020125438	0.0839979	0.6190484	0.23039922
à	0.039003182	0.0111569725	0.0499279	0.49870405	0.04832772	0.35288015
t	0.0031162575	0.008723726	0.0014144753	0.061070234	0.77563864	0.15003668
s	0.0031391971	0.02817179	0.013930078	0.028025066	0.69038045	0.2363534
i	0.0067299725	0.024553418	0.049211405	0.026831105	0.57298595	0.31968814
</S>	0.0010985913	0.0055734757	0.0015403181	0.09412284	0.16099642	0.7366684
