 	voleva	un	bar	con	un	forno	che	fa	buoni	rustici	</S>
ì	0.998809	0.0008679958	0.00021155534	9.223616e-05	6.3065104e-06	8.346725e-06	2.9119697e-06	4.0190372e-07	2.6082833e-07	3.34055e-07	7.4385673e-07
t	0.95742977	0.005418056	0.0025332626	0.006116614	0.010578156	0.006196242	0.0041040927	0.004738988	0.000986468	7.599454e-05	0.0018223737
e	0.90507215	0.037099354	0.015793245	0.002714846	0.0029216697	0.0015029409	0.00070443976	0.00091516855	0.00011556337	0.00014979033	0.033010826
l	0.2801079	0.6876857	0.028390707	0.002495378	0.0010973404	0.00016489769	2.588981e-05	2.2095364e-05	2.6496555e-06	4.155805e-07	7.0482765e-06
a	0.33579326	0.51391476	0.079889886	0.012082813	0.012378181	0.0023296745	0.0026248598	0.0023781098	0.0006726556	0.00022452044	0.03771127
è	0.08763943	0.68431497	0.20539868	0.019905083	0.0024320176	0.00015698744	4.2493888e-05	3.262186e-05	8.132158e-06	2.5434015e-06	6.7112e-05
n	0.025834069	0.7517068	0.16616578	0.046933264	0.006643675	0.0008026402	0.000421097	0.00030444877	0.00019605207	1.2503975e-05	0.0009796777
a	0.025030911	0.46008104	0.3623941	0.06728333	0.04459607	0.0039253337	0.0018160695	0.002066638	0.00043081207	0.00041138145	0.031964302
b	0.014798931	0.09512948	0.25673154	0.5550052	0.075508386	0.002165875	0.00022562532	0.00019060436	6.599202e-05	2.3598257e-06	0.00017598357
a	0.014786431	0.09129364	0.2718527	0.4981726	0.08215926	0.009890738	0.0047967103	0.004353706	0.0010477477	0.00018269393	0.021463696
r	0.008233114	0.025739808	0.039076734	0.4842189	0.43320736	0.007991696	0.00065078435	0.0005232035	0.00017151257	9.132897e-06	0.00017772429
m	0.0128614325	0.044766527	0.062177215	0.59335774	0.21494645	0.031507235	0.01050133	0.009133551	0.0018519463	0.0001380123	0.018758522
è	0.013952743	0.005846193	0.012206611	0.78639203	0.06251108	0.024347711	0.07355458	0.014945732	0.0005828951	0.001470576	0.004189849
n	0.0016335972	0.004028787	0.007195732	0.12284007	0.7674979	0.09132182	0.003259465	0.001516907	0.00010209913	9.831076e-06	0.00059381436
a	0.045875523	0.039117873	0.034063764	0.28856972	0.26061624	0.059828456	0.05891896	0.054981764	0.0065194136	0.014520945	0.1369873
f	0.0023829683	0.0027925188	0.00295574	0.013628748	0.6072807	0.34665558	0.02054739	0.0033166136	0.00024845393	3.8987386e-05	0.00015236023
