 	non	ho	dove	d'	andare	</S>
e	0.96326613	0.02829709	0.008351619	2.1624935e-05	3.6030356e-06	6.0113165e-05
n	0.9242873	0.03428145	0.007995695	0.00442089	0.011598579	0.017416107
è	0.31657514	0.17807429	0.14534038	0.011898218	0.005383015	0.34272897
c	0.13501768	0.63126785	0.20352356	0.0050180005	0.004653057	0.020519808
h	0.10414999	0.102033585	0.15597428	0.016152473	0.03333792	0.5883518
o	0.010391438	0.01225136	0.9706086	0.002940322	0.001784578	0.0020238578
p	0.0053848163	0.022337053	0.93029845	0.03851988	0.001142367	0.0023175173
u	0.011428059	0.034394804	0.8219329	0.097209096	0.017109323	0.017925788
è	0.009242541	0.022513082	0.03965272	0.9011346	0.01659816	0.010858951
n	0.0023836202	0.005343266	0.0065815747	0.8632724	0.10623633	0.016182823
a	0.0014642476	0.012717024	0.0194957	0.30651334	0.52551067	0.13429902
p	0.0108727645	0.01748902	0.01103772	0.069722734	0.74270517	0.1481726
à	0.0009508538	0.009836448	0.01807882	0.015739765	0.62132084	0.33407328
o	0.0139454175	0.02610444	0.018246427	0.0252792	0.78749806	0.12892643
</S>	0.0009073185	0.0031705576	0.0071579334	0.011407799	0.617646	0.35971043
