 	i	bambini	piccoli	li	vestono	i	genitori	</S>
a	0.9934263	0.006483753	5.3399854e-05	3.0773233e-05	7.3538257e-07	6.476522e-07	1.465892e-07	4.2596757e-06
p	0.9095253	0.008130576	0.0094951745	0.019411737	0.04011416	0.0021175044	0.0005787271	0.010626868
e	0.9673561	0.017619492	0.003909318	0.0036447693	0.0010115813	0.0001558781	2.4833427e-05	0.006278087
t	0.9162209	0.06813904	0.009290296	0.0032048386	0.000662091	0.00011238862	1.5876709e-05	0.0023545816
à	0.49216703	0.39027262	0.082005545	0.023284258	0.0011059161	0.0010250165	0.00011631014	0.010023359
c	0.43199486	0.5322168	0.03392482	0.0015644182	9.040983e-05	3.73154e-05	4.282258e-06	0.00016712712
i	0.09354565	0.052492823	0.13651495	0.013192849	0.004814594	0.0033933327	0.0083704805	0.68767536
a	0.637759	0.31035239	0.047108993	0.0044438797	0.00011628666	7.6691365e-05	1.1166868e-05	0.00013159613
k	0.032002494	0.10942353	0.72387713	0.08902762	0.032873724	0.0017092136	0.00011385415	0.0109724635
è	0.021693714	0.047902163	0.7355611	0.10923884	0.015084647	0.0024067156	0.0003315805	0.06778132
c	0.08503534	0.12577659	0.55790013	0.20414798	0.021565994	0.0015048197	9.4065814e-05	0.0039750985
c	0.120545834	0.23443866	0.23088416	0.07043255	0.004477644	0.0050565638	0.0022619658	0.33190262
i	0.35290337	0.11752216	0.074909076	0.16095982	0.0061445413	0.053808954	0.049640656	0.18411146
a	0.32556495	0.06625036	0.037438024	0.5610166	0.007590837	0.001247335	0.00029691576	0.0005949738
u	0.024530971	0.08916168	0.06891661	0.7338616	0.06365915	0.0031823108	0.00036502304	0.016322615
s	0.021466201	0.055243604	0.01978158	0.76504886	0.12306176	0.01139907	0.00044329406	0.0035555284
e	0.005614005	0.040343985	0.03758191	0.65791667	0.18560754	0.030361557	0.004733186	0.037841104
n	0.019060394	0.029202687	0.014787491	0.40687582	0.47964048	0.045665655	0.0010333182	0.0037341828
d	0.00564189	0.084685914	0.025919003	0.2975457	0.3192866	0.10275366	0.06351871	0.10064847
ì	0.047536694	0.2752748	0.0366979	0.12882285	0.04296563	0.1915474	0.16545789	0.1116968
n	0.0044751023	0.0050988197	0.00418228	0.110468015	0.6147155	0.24364565	0.006045391	0.011369277
n	0.009755967	0.09220135	0.023109237	0.18054558	0.27293825	0.1220532	0.19653906	0.10285735
u	0.049314145	0.15764713	0.025111608	0.030986946	0.02290261	0.2646998	0.24669476	0.202643
n	0.0022308517	0.0034930236	0.0036378517	0.026277224	0.040646944	0.7872026	0.050111823	0.08639972
e	0.005829565	0.07505093	0.008484184	0.03207916	0.07874985	0.16549061	0.5121004	0.12221525
i	0.016283711	0.020054517	0.005123013	0.024360362	0.14969227	0.59029776	0.15624443	0.037943885
g	0.0063706855	0.040667668	0.008335862	0.01427089	0.018571755	0.5822939	0.2809009	0.048588328
e	0.010792025	0.1012793	0.011407513	0.01703832	0.014076608	0.23682237	0.49599615	0.112587795
n	0.025560578	0.06898915	0.016672924	0.024684202	0.033258222	0.4147762	0.25130758	0.1647512
i	0.0029050831	0.08336958	0.002384276	0.0044167894	0.006544215	0.05189822	0.80699646	0.04148537
t	0.021053275	0.031711422	0.013499002	0.01835052	0.06498501	0.30300125	0.25221083	0.29518872
ò	0.0026703007	0.08095483	0.0025495149	0.00539297	0.009078499	0.045760553	0.81183875	0.04175448
r	0.011241979	0.013560597	0.008101628	0.009471537	0.009542418	0.06487279	0.77798474	0.10522434
i	0.0054688286	0.06092027	0.005047412	0.01070906	0.0085951425	0.04697786	0.8005196	0.06176177
</S>	0.0021145083	0.003393612	0.0015366954	0.0023482172	0.006836397	0.03439414	0.030230382	0.919146
