 	è	che	stanno	ancora	alzati	</S>
è	0.98107797	0.017660262	0.0010804549	3.7707156e-05	4.9898773e-07	0.00014323361
n	0.42884785	0.05731966	0.0213081	0.12527241	0.03099677	0.3362552
a	0.29133454	0.13276263	0.027654523	0.017542558	0.0127828885	0.5179229
s	0.044060063	0.529491	0.413137	0.009725228	0.0001046129	0.0034821
t	0.014346785	0.14244881	0.62737197	0.06260564	0.0038950136	0.14933187
a	0.015997402	0.09794484	0.87920177	0.0044978647	2.5347728e-05	0.0023326871
s	0.025410965	0.08080588	0.8833646	0.0075572697	1.5343183e-05	0.0028459812
ù	0.0061799185	0.05381579	0.75392157	0.11607722	0.0055396515	0.06446582
n	0.17200778	0.08746955	0.57220757	0.16175658	0.000527237	0.0060313623
e	0.00657286	0.024300978	0.344853	0.50830716	0.011173653	0.104792275
a	0.23453474	0.08609984	0.14469944	0.5099843	0.0094710775	0.015210588
n	0.0075770826	0.012404812	0.013341873	0.9008471	0.048169896	0.01765924
k	0.01071967	0.015829429	0.009302918	0.8525789	0.061755247	0.049813766
ò	0.14541924	0.13144915	0.066735916	0.12874968	0.036086623	0.49155936
r	0.15449177	0.048764743	0.038250487	0.5897935	0.09474392	0.07395558
a	0.0016644394	0.00761592	0.0220024	0.7750719	0.16435514	0.029290142
o	0.26265678	0.055617537	0.041360088	0.24476373	0.2556085	0.1399934
r	0.0040663495	0.0064487252	0.0032514264	0.048725605	0.7248644	0.21264341
t	0.00597055	0.020068811	0.006867586	0.045504034	0.87097955	0.050609536
ì	0.01721993	0.021303032	0.008992939	0.024803558	0.28579324	0.6418873
</S>	0.023131274	0.013866778	0.005060011	0.012297914	0.40070897	0.54493505
