 	lo	sentii	che	viene	</S>
t	0.99952877	0.00045814723	5.255442e-06	1.0314463e-07	7.743669e-06
o	0.84328526	0.07172112	0.008741218	0.0053753355	0.07087703
n	0.5726221	0.41165558	0.006047976	0.0024268865	0.0072473492
ì	0.22198077	0.2941858	0.043487795	0.0033494984	0.43699616
k	0.12706283	0.7645132	0.09347027	0.007222926	0.007730777
u	0.073427245	0.21204585	0.4197847	0.021702385	0.27303982
s	0.33846048	0.17145759	0.41912058	0.05660284	0.014358502
a	0.013316432	0.0317948	0.67302865	0.08826804	0.19359209
n	0.03761686	0.039193798	0.39848903	0.48819286	0.036507454
a	0.003345902	0.026187921	0.17053778	0.55290955	0.24701883
r	0.011078753	0.02348145	0.0364132	0.8783729	0.05065366
t	0.00084668194	0.018532217	0.03900818	0.74179006	0.19982286
i	0.12601268	0.0069742007	0.09566654	0.19559182	0.57575476
</S>	0.011282217	0.059698008	0.045748357	0.18167084	0.70160055
