 	il	muro	vuole	uno	specchio	</S>
o	0.9991391	0.00085749733	3.2782208e-07	2.7697329e-06	1.2053508e-07	2.4174665e-07
t	0.80173516	0.17489508	0.009012431	0.011555505	0.00092932454	0.0018724364
ì	0.34004563	0.6203251	0.00087950897	0.0072269547	0.00051148323	0.031011285
c	0.3476243	0.63974	0.006605909	0.0037700015	0.0001575668	0.0021022807
h	0.5749492	0.36292398	0.0050817127	0.004019747	0.0006916245	0.052333683
o	0.9765138	0.020810897	0.00017928524	0.0016544294	0.0003748207	0.00046683417
t	0.3234037	0.63069654	0.03270683	0.012337308	0.000521591	0.00033407984
è	0.0056953398	0.038868282	0.85005105	0.0101495795	0.011954435	0.08328121
l	0.077716224	0.32454273	0.4839668	0.09541885	0.0045320448	0.01382328
i	0.086346425	0.08212463	0.7872087	0.0029808711	0.004077211	0.03726217
è	0.30213428	0.4091853	0.24187091	0.03613819	0.0032242225	0.007447118
n	0.015259665	0.07670884	0.36230078	0.17503256	0.07146621	0.299232
a	0.019369125	0.1354643	0.32519585	0.20006317	0.17720033	0.1427072
n	0.03530818	0.2492946	0.13410237	0.20912313	0.063648015	0.3085237
j	0.0039569796	0.09369869	0.049450316	0.42331722	0.21171018	0.21786658
a	0.14220437	0.008308329	0.059181754	0.0078812605	0.050097667	0.7323266
l	0.0010892361	0.014961815	0.012068756	0.3496166	0.09783974	0.52442384
ì	0.00351932	0.08519099	0.054096285	0.071249075	0.24760695	0.53833735
</S>	0.00088569947	0.0044255443	0.0027545672	0.0059404615	0.011702306	0.9742914
