 	se	vieni	alle	sette	ancora	non	è	pronto	</S>
a	0.9098522	0.07948337	0.0040234127	0.006390337	0.00013376141	2.021696e-05	5.2146634e-06	2.4548406e-05	6.6970155e-05
n	0.038708813	0.9045671	0.02844694	0.0011176624	0.0102227675	0.005168872	0.006953832	0.0003244909	0.0044895452
è	0.012914395	0.90908545	0.030574992	0.005762946	0.005008558	0.002004848	0.0032299124	6.262405e-05	0.03135621
r	0.016706757	0.84974736	0.117373265	0.0033253804	0.001690915	0.0030253904	0.0036816082	0.00028720792	0.004162267
t	0.015413295	0.8054822	0.03888983	0.002454851	0.004495591	0.0028682454	0.0045700674	0.00046781375	0.12535816
i	0.0071309498	0.09362298	0.68519855	0.21230225	0.0006048854	0.00036451398	0.0004229346	2.4701772e-05	0.00032817494
s	0.0026290882	0.08224337	0.79294515	0.12034044	0.0011539682	0.00013390888	0.00018226216	4.9267132e-06	0.000366925
e	0.004403395	0.056732137	0.8458302	0.04225059	0.014445786	0.011305577	0.008446057	0.00068689306	0.01589934
s	0.0047903378	0.05751698	0.65589774	0.2772009	0.002599543	0.0009591361	0.00047194643	2.4039504e-05	0.0005393829
i	0.005074536	0.028750945	0.7412902	0.1299324	0.030735396	0.017959053	0.012497061	0.00027760403	0.033482835
t	0.0059783813	0.038327336	0.15574405	0.7733049	0.01833288	0.0047230213	0.0021547854	5.5360077e-05	0.0013792705
t	0.005370952	0.022251546	0.23019329	0.50938696	0.13288228	0.033457186	0.021274967	0.00046053602	0.04472231
à	0.00076735916	0.00082339917	0.040218942	0.95308566	0.001864674	0.000296745	0.00044930907	0.0003358443	0.0021579878
a	0.003965743	0.0058561303	0.029424591	0.637401	0.29221332	0.020224554	0.006561764	0.000112674854	0.004240219
n	0.0016985027	0.0033150243	0.004328289	0.0421831	0.67828697	0.17550498	0.09206987	0.0007353685	0.0018779413
k	0.0098194815	0.006850064	0.006506713	0.010461515	0.6323497	0.22787505	0.07375217	0.0011853788	0.031199923
ò	0.03202359	0.044022407	0.09920371	0.22769986	0.05477199	0.026076792	0.0827293	0.09286832	0.34060407
r	0.010751926	0.0042102477	0.010233595	0.016692	0.6218452	0.24680883	0.07442977	0.0012162556	0.013812127
a	0.0065199686	0.008044037	0.046321414	0.023640972	0.66959536	0.060921665	0.06399071	0.032221597	0.08874433
e	0.027125804	0.008111014	0.011133018	0.01831796	0.24471337	0.14844894	0.45034277	0.07818989	0.0136172455
n	0.0025645148	0.0021257817	0.0012910861	0.0013774021	0.05075386	0.10019706	0.62472427	0.12775032	0.08921575
è	0.008037345	0.0062034535	0.004961364	0.003497045	0.052985936	0.08963831	0.59638774	0.16936113	0.06892768
p	0.014298302	0.025255134	0.018039979	0.01046128	0.007827034	0.05621573	0.27562398	0.5230144	0.069264136
r	0.0008400323	0.0006404811	0.0008155647	0.0005984448	0.00237656	0.0027171012	0.04572016	0.8651107	0.08118097
ò	0.00972269	0.0317249	0.061736558	0.04216472	0.042938955	0.0105487835	0.036970858	0.5518532	0.21233937
n	0.0020009256	0.0015679009	0.0016995819	0.0008179846	0.0029597834	0.011063642	0.08548827	0.24049242	0.6539095
t	0.006624537	0.01031357	0.013009844	0.011187509	0.012803603	0.009917942	0.042216245	0.7884841	0.10544268
o	0.06409438	0.0019611614	0.068902425	0.07928079	0.047126155	0.0033063842	0.009094769	0.57680374	0.14943026
</S>	0.00035056093	0.00043897	0.0006128544	0.0011984194	0.0022274489	0.004712895	0.022814918	0.099136665	0.8685073
