 	possono	essere	ancora	svegli	</S>
i	0.99980265	0.00017806637	7.31634e-06	1.443859e-07	1.1969396e-05
s	0.8728895	0.018565718	0.028071124	0.013080494	0.067393094
ò	0.8543238	0.054084945	0.01694478	0.0018321271	0.07281432
z	0.74840057	0.21237983	0.017042892	0.00052058446	0.0216561
o	0.26190233	0.4286872	0.065594174	0.013992548	0.22982372
n	0.3132823	0.6702191	0.015924314	2.228058e-05	0.0005519384
e	0.18727663	0.3790139	0.19703445	0.0219161	0.21475896
ì	0.38009194	0.3882073	0.22358777	0.00015788099	0.007955153
n	0.18656011	0.21619177	0.54564995	0.020067433	0.031530757
e	0.014728769	0.06612166	0.74245054	0.10882583	0.0678732
a	0.101655126	0.13766403	0.72715664	0.0059442087	0.027580032
n	0.024772963	0.03965226	0.34421632	0.54476464	0.046593852
k	0.042316288	0.08326062	0.36239716	0.4094772	0.1025487
ò	0.17537706	0.24897356	0.2163323	0.008839819	0.35047722
r	0.056756757	0.057053607	0.71234053	0.045782037	0.12806706
a	0.01138213	0.037282363	0.73212177	0.18045731	0.03875641
a	0.10766789	0.052719776	0.6663613	0.023973852	0.1492772
t	0.00279841	0.007734535	0.010443719	0.87872833	0.10029494
s	0.0072348304	0.012049475	0.011883959	0.9545479	0.014283849
ù	0.030714298	0.10195671	0.06292496	0.10327204	0.701132
n	0.028687092	0.042061463	0.021482473	0.8510959	0.056673072
n	0.011796445	0.04999819	0.053375542	0.80566496	0.079164885
i	0.1117106	0.058714204	0.30907655	0.37290993	0.1475887
t	0.008250536	0.020193469	0.014127454	0.4193326	0.53809595
i	0.024992468	0.031942613	0.047990363	0.84285533	0.052219134
</S>	0.006051498	0.009093528	0.011001375	0.03258506	0.94126856
