 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.99929297	0.00047175534	0.0001872647	3.4373108e-05	9.368023e-06	2.2998524e-06	1.1631765e-06	1.3632693e-07	5.3275308e-08	5.8008135e-07
a	0.7001111	0.1325938	0.077480026	0.024906812	0.032942783	0.011096065	0.011301574	0.004177541	0.00065762916	0.004732736
p	0.8249776	0.10390944	0.05577049	0.0016419409	0.0033328752	0.00064102886	0.0005169445	0.00020583556	7.1794595e-05	0.00893198
e	0.4074179	0.4748562	0.10106868	0.0030797864	0.005070586	0.0010319637	0.0009468911	0.00035313814	7.441432e-05	0.006100435
s	0.64573336	0.23517673	0.11808817	0.0001640441	0.0005388398	2.958458e-05	6.80471e-05	1.5999916e-05	1.9154179e-05	0.00016608658
a	0.027710296	0.92706144	0.024793116	0.0045349915	0.0011355539	0.0013073623	0.00040234622	0.00025515968	0.00026549774	0.01253432
m	0.11856756	0.40214172	0.47649512	0.0022462553	0.0004614908	3.1840096e-05	1.543325e-05	7.546289e-06	9.425982e-06	2.3620856e-05
m	0.005912759	0.93638366	0.026295487	0.00393279	0.0008548805	0.00104366	0.00027441172	0.00020432417	0.0003894546	0.024708603
è	0.06498875	0.57002	0.33347446	0.015630806	0.013159613	0.0011019811	0.00076154	0.0002586218	5.9703973e-05	0.0005445191
n	0.034288336	0.09609682	0.8637364	0.0048006843	0.0010140263	1.6976765e-05	2.567087e-05	2.9487355e-06	2.2780566e-06	1.5867698e-05
o	0.008837887	0.8373618	0.10576466	0.02057543	0.008213921	0.0043606167	0.0016009733	0.0010915067	0.00082909095	0.011364073
o	0.061106842	0.021837723	0.8003352	0.10566819	0.010658321	0.00020451644	0.0001028846	1.8614888e-05	2.9929335e-05	3.7824917e-05
k	0.018190114	0.013693781	0.56522363	0.34386376	0.044640113	0.005444968	0.005115684	0.00067372556	0.00054130616	0.0026129542
l	0.0075384993	0.022431845	0.12156008	0.77110285	0.035724204	0.015907416	0.0023741524	0.00106995	0.0008363032	0.021454666
è	0.064003356	0.06310669	0.20335968	0.23001471	0.3055582	0.028982006	0.018436266	0.010515837	0.0010653363	0.07495792
o	0.0080034295	0.0042050933	0.06580853	0.56805885	0.34393907	0.007292288	0.0017491287	0.0002580596	4.0117928e-05	0.0006454731
n	0.0012777285	0.0019015307	0.014018061	0.3095208	0.5380361	0.10122327	0.01880418	0.00675227	0.003028717	0.0054373206
e	0.0027630546	0.0113691855	0.022346897	0.30387315	0.36680606	0.20595627	0.011730514	0.0072489996	0.0037569066	0.06414895
o	0.007315459	0.0014167146	0.013389689	0.011852146	0.74482566	0.09113336	0.11809278	0.008315511	0.0017162147	0.0019425045
k	0.0033769791	0.0009277598	0.0045942115	0.0070463894	0.34707814	0.3012202	0.28212196	0.037386507	0.009682795	0.0065650386
l	0.0027042213	0.0060111177	0.0060038446	0.018889755	0.16307524	0.68074757	0.04933299	0.023274394	0.005899993	0.04406083
è	0.03159219	0.048397418	0.00900039	0.008333929	0.2703093	0.15549983	0.074195005	0.050145622	0.0043134377	0.34821293
o	0.0017731644	0.0009251278	0.0030177142	0.004553526	0.11404897	0.43516153	0.29118174	0.1398597	0.0013262187	0.008152177
n	0.0003307818	0.00016907848	0.0004675295	0.00077019277	0.0121741	0.13933662	0.56950295	0.23570001	0.03194218	0.009606601
e	0.0033180362	0.007865061	0.0047401926	0.0041783634	0.03094898	0.3318986	0.25524935	0.22296944	0.01760851	0.121223494
ò	0.00086017937	0.0003716276	0.0009493382	0.00041581714	0.0090711545	0.012045048	0.4277324	0.5273164	0.016799346	0.004438709
l	0.0009276828	0.00028490165	0.00078781135	0.00012423555	0.001590021	0.001748021	0.32271937	0.57548237	0.092540935	0.0037946661
i	0.0012081662	0.0023221835	0.00093064934	0.00051977497	0.0039253444	0.028849853	0.27203944	0.6088251	0.07058027	0.010799244
i	0.0005007546	8.7481814e-05	0.0005201996	9.1693364e-05	0.002653376	0.0018544794	0.2316535	0.44981268	0.26920038	0.043625392
f	0.0006801563	0.00019298994	0.0006109462	0.0001784261	0.000904489	0.0012219973	0.19957429	0.3824486	0.38240376	0.031784285
a	0.0028200182	0.0052119642	0.0030167857	0.0014565306	0.0054315063	0.013037549	0.16236444	0.59986544	0.13791485	0.06888101
m	0.0012267573	0.00045571322	0.0012957064	0.000308983	0.0031306872	0.0012510435	0.1761435	0.46184972	0.2530945	0.101243444
i	0.008289058	0.0060604266	0.006205252	0.0009659864	0.004687335	0.00408171	0.14486922	0.45374098	0.26644614	0.10465393
l	0.0018178677	0.0005046498	0.0016811374	0.0003243227	0.0032856863	0.0010179925	0.1347966	0.3021497	0.33555272	0.21886931
i	0.01182457	0.012153043	0.008996071	0.0018596931	0.008044024	0.00822995	0.13710922	0.37402287	0.23118864	0.206572
à	0.0019705761	0.0006627433	0.0018674646	0.0004401424	0.0040032603	0.0013297261	0.12469762	0.22239001	0.24352382	0.39911458
r	0.0025459183	0.0007371198	0.0021624223	0.0002905379	0.0020578327	0.0003570732	0.04336173	0.16246846	0.67118317	0.11483575
i	0.0075321523	0.011170983	0.0046719094	0.0012247338	0.0035076346	0.004188743	0.09013886	0.24925715	0.55303544	0.0752724
</S>	0.0008252987	0.00021036738	0.0008382992	0.00014974024	0.0016082786	0.00047595083	0.05807317	0.063663855	0.1841365	0.6900185
