 	entrò	da	qui	</S>
m	0.9997658	2.0944919e-05	2.5152713e-06	0.0002107364
b	0.9740814	0.0053398726	0.006419842	0.014158966
ì	0.98816943	0.009946643	0.00023197911	0.0016520411
k	0.6337133	0.29646474	0.00148884	0.0683331
e	0.8209478	0.07670958	0.039921414	0.062421158
a	0.063613206	0.9305052	0.0013385913	0.004542876
p	0.0037032757	0.9316403	0.042756416	0.021899927
ò	0.0031570813	0.94177836	0.01670738	0.038357187
t	0.008066615	0.93013906	0.056416187	0.005378203
t	0.00648985	0.12937424	0.83102375	0.033112112
u	0.18834685	0.019556658	0.7300852	0.062011328
</S>	0.006379744	0.08150069	0.46641654	0.44570297
