 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.97258466	0.025030535	0.0021384612	9.150608e-05	5.947136e-06	5.5825323e-05	7.390296e-05	3.6321467e-06	2.9013768e-07	8.818296e-06	6.406417e-06
n	0.113692224	0.84153914	0.01706856	0.0060712197	0.013348158	0.0036953902	0.0014402393	0.00024212032	0.00017174994	0.0016440129	0.0010872476
ì	0.013367389	0.8650132	0.10293526	0.0032892383	0.0021693183	0.00047173823	0.0002755891	0.000103482416	1.6237063e-05	0.00016519576	0.012193359
c	0.0073773945	0.92166704	0.05158763	0.0014608209	0.0019948422	0.0011528559	0.0003952193	0.00028892895	2.3089495e-05	0.001927891	0.0121242665
h	0.33751157	0.044230748	0.22125365	0.09973139	0.0295816	0.1669001	0.0948963	0.0023793422	0.00023907295	9.2797316e-05	0.0031834787
e	0.15543367	0.1824739	0.5744509	0.038307212	0.0007963816	0.009431624	0.033541955	0.0014237585	8.276345e-05	0.0023500442	0.0017077698
n	0.0014392859	0.0036889988	0.9815486	0.012945517	0.00025129892	7.000282e-05	2.7638309e-05	2.150463e-05	1.3730036e-06	3.0653227e-06	2.709204e-06
d	0.0039313887	0.020193135	0.8130323	0.14851	0.0074777924	0.0019822011	0.0022998706	0.0023352941	3.236265e-05	7.459508e-05	0.00013107185
ì	0.16923754	0.0025130978	0.25075427	0.35680023	0.0155631015	0.050452735	0.14697355	0.0030572833	0.00011840793	0.0006655567	0.003864247
s	0.0026841862	0.00038122994	0.27437523	0.71853864	0.002450935	0.0012302708	0.00018141227	0.000119206125	1.3300166e-06	5.1223556e-06	3.2360582e-05
o	0.011262219	0.02322081	0.6551264	0.27456626	0.00839861	0.005887055	0.010523845	0.009360476	0.00014780687	0.0004973241	0.0010092533
n	0.003087745	0.000105055384	0.010761319	0.9217083	0.052225146	0.011787377	0.00022279836	8.993922e-05	2.0658074e-06	5.5130135e-06	4.7003323e-06
t	0.0049088467	0.033888783	0.12040091	0.7954589	0.02210859	0.0049981186	0.0025989611	0.012705312	0.00012490097	0.00023790175	0.0025687902
a	0.018942555	0.00091790926	0.00495089	0.64447266	0.051035613	0.044454455	0.22638775	0.0049392087	0.00044415184	0.0009802	0.0024745988
