 	vado	cercando	un	forno	che	fa	rustici	</S>
p	0.9972287	0.0027319752	2.1535914e-05	1.0990724e-05	3.0537958e-06	3.2264768e-07	7.627044e-07	2.5966733e-06
à	0.7700778	0.22175275	0.0030092297	0.0022128748	0.00053484784	0.00047701987	7.559397e-05	0.0018598572
o	0.7014185	0.2641181	0.02031628	0.005737171	0.0009777846	0.0011147578	6.803933e-05	0.006249323
c	0.048542526	0.95000017	0.0007692121	0.0002390875	4.716644e-05	8.282003e-05	3.9533766e-06	0.00031505243
e	0.0077973274	0.98528636	0.0009663752	0.00017607764	0.00014431275	0.00012878785	9.608681e-05	0.0054046726
r	0.3614718	0.62480795	0.013145275	0.0004169022	5.325253e-05	2.0341748e-05	2.9249643e-06	8.153268e-05
k	0.011990511	0.97257733	0.0101194065	0.0007753415	0.0009431789	0.00036081512	0.00034231454	0.0028909936
è	0.0888235	0.8057178	0.077332824	0.017894538	0.006495609	0.0016970474	0.00019802658	0.0018405594
o	0.27916756	0.4432637	0.25699267	0.015815971	0.0024722014	0.0003228001	2.1476038e-05	0.0019435682
n	0.007827619	0.41567037	0.5682028	0.0068172175	0.00034938654	0.00035856318	7.5680277e-06	0.0007664891
t	0.004308863	0.8600235	0.10910811	0.007031272	0.0025578078	0.0013409848	0.0005399461	0.01508952
a	0.025937362	0.13754554	0.47678024	0.084737144	0.21750872	0.024740258	0.019742956	0.013007801
è	0.011547566	0.0042845556	0.9665041	0.01632447	0.0005874873	0.00030306153	9.106125e-06	0.00043968673
n	0.013329117	0.019590532	0.91399723	0.04474087	0.003565402	0.0016782699	9.6929674e-05	0.0030015921
a	0.005470084	0.02038541	0.7407693	0.1603729	0.017378008	0.015436529	0.006955708	0.033232063
f	0.012330737	0.0028046272	0.65779924	0.291846	0.024612403	0.008697229	7.608093e-05	0.0018336658
ù	0.004518766	0.04083064	0.26414058	0.47523502	0.06399272	0.0529869	0.010261171	0.08803418
r	0.019626396	0.0013950659	0.071574286	0.7611574	0.11380666	0.027559971	0.0003192768	0.004560957
n	0.008077378	0.01770424	0.090256706	0.16355507	0.24978112	0.14222799	0.053135484	0.275262
o	0.02232074	0.0026245948	0.02158987	0.024366774	0.44859904	0.030397847	0.32970208	0.120399065
k	0.00371636	0.0008033059	0.08129176	0.054862574	0.6451904	0.18929493	0.0035704386	0.021270188
a	0.0054069404	0.042178925	0.031620953	0.08610521	0.37924397	0.10852722	0.13595003	0.21096674
k	0.008390567	0.00016381536	0.042084854	0.090127856	0.24723722	0.58910245	0.014692286	0.008200911
à	0.010898428	0.026863877	0.026865799	0.05210833	0.2045805	0.24289438	0.12878673	0.3070019
n	0.008369736	0.0002673045	0.008664376	0.021996418	0.13142611	0.7916513	0.027061397	0.010563391
n	0.00479409	0.0040078154	0.0069369767	0.008003558	0.16917247	0.3298681	0.24698181	0.2302352
i	0.005470448	0.00020982283	0.0049471366	0.009159766	0.101324596	0.02652016	0.77412146	0.07824645
r	0.0012439578	0.00017651748	0.014647198	0.008687369	0.03509079	0.22267942	0.35254598	0.36492875
ù	0.008654094	0.013060335	0.004579944	0.00570052	0.04813253	0.14602755	0.4560405	0.31780457
s	0.008529375	0.00022968023	0.009324801	0.017159948	0.016299991	0.15054706	0.64084023	0.15706891
t	0.005554968	0.0032323587	0.0037986233	0.0019118501	0.019126771	0.07563148	0.71514755	0.17559642
i	0.0009437019	3.202345e-05	0.0009295976	0.0028670002	0.013591718	0.00631715	0.9519288	0.023390071
k	0.00069524586	0.0001065452	0.0072065704	0.0030877208	0.011888131	0.040712483	0.21525158	0.72105163
u	0.011239982	0.013207459	0.0038192272	0.0024961499	0.011822295	0.033796117	0.6881359	0.23548278
</S>	0.00911037	0.00047030885	0.025312642	0.0108198635	0.009346753	0.0662895	0.25587937	0.62277114
