 	qualcuno	al	telefono	vuole	sapere	dell'	Anna	</S>
k	0.7585063	0.23550995	0.005495445	5.7088757e-05	1.9021956e-05	0.00023622678	4.0735884e-07	0.00017559371
a	0.36377457	0.17548022	0.35610884	0.022163784	0.014754502	0.0382357	0.0013538103	0.0281287
n	0.8293463	0.15914369	0.0111740455	6.747155e-05	3.8300426e-05	6.827574e-05	6.004745e-06	0.00015592683
è	0.8970216	0.07582962	0.014469968	0.001461829	0.00042136884	0.0003235725	2.7670485e-05	0.0104444465
n	0.63073117	0.3563478	0.01263732	0.00014425082	4.522168e-05	2.9163306e-05	5.509751e-07	6.453985e-05
a	0.88225645	0.061007127	0.00756788	0.0016272204	0.00023852428	0.00015498367	0.00023670284	0.046911076
s	0.050496597	0.896487	0.052757744	0.00015798397	1.5269161e-05	1.6393671e-05	1.496305e-07	6.892876e-05
t	0.37339157	0.49750707	0.08067497	0.0102697825	0.0011887642	0.00030027013	0.00022970774	0.036437795
o	0.003888081	0.99306	0.0021217426	0.0005433362	6.124106e-05	0.00023051798	8.869935e-07	9.423978e-05
t	0.01863037	0.6912586	0.2857823	0.0036289736	4.597863e-05	0.0003123385	7.9611107e-07	0.00034061642
e	0.16272904	0.27178535	0.47062272	0.039864246	0.004215152	0.0006341312	0.00057396543	0.049575392
l	0.0035212797	0.045607854	0.93922204	0.01137569	7.5540964e-05	9.2483526e-05	6.631316e-06	9.854636e-05
è	0.016531872	0.042352196	0.84557015	0.08147488	0.0015756313	0.00042326428	0.00013600755	0.011936032
f	0.003533602	0.01083499	0.90050805	0.08334007	0.0014794464	7.94097e-05	2.8159652e-06	0.00022161887
o	0.03013657	0.014462084	0.57455415	0.32120025	0.002975059	0.00028966623	0.005084511	0.051297702
n	0.0052272975	0.04940375	0.3281649	0.5927215	0.02264452	0.0012761186	1.3076073e-05	0.0005488235
o	0.008290974	0.009606922	0.3931728	0.5612017	0.008341347	0.00039777663	0.0011114061	0.017877122
t	0.0044072527	0.012198409	0.055650022	0.8749398	0.046841823	0.005294901	8.150032e-05	0.0005862975
è	0.0020552543	0.0021063613	0.12821425	0.8362909	0.017900588	0.00030471565	0.0024056972	0.010722294
l	0.003861001	0.0036134338	0.01640848	0.543677	0.4299838	0.0013757295	0.00017101884	0.00090962084
i	0.0033488465	0.0010798415	0.032337464	0.81972015	0.07297792	0.00086121086	0.02810597	0.041568603
n	0.0010924288	0.005142605	0.025331842	0.1750274	0.50904876	0.28174126	0.00026841616	0.0023472907
a	0.009839324	0.0017424609	0.037369326	0.30649376	0.5332093	0.0034429748	0.06770755	0.04019524
t	0.0027840133	0.0023045046	0.009842089	0.08132341	0.41254914	0.48750463	0.0016463632	0.0020459308
s	0.0035211085	0.0016767596	0.02877383	0.11686421	0.70327675	0.014930192	0.086852655	0.04410453
è	0.01225051	0.0037120222	0.0034753033	0.03378051	0.3385681	0.1396624	0.0020079983	0.46654314
r	0.0013795774	0.0006597196	0.001354956	0.022029055	0.60382295	0.3485004	0.0042488747	0.018004503
i	0.003202417	0.0024231714	0.028934546	0.027112212	0.6450714	0.021263922	0.20720732	0.064785026
à	0.0010794083	0.0011746157	0.002784164	0.0108505655	0.043112088	0.92751676	0.0033623856	0.010120082
t	0.00085247046	0.0011488674	0.0018537104	0.0012005835	0.041612715	0.84872	0.0619722	0.042639527
t	0.001486283	0.0002470952	0.0030577625	0.0041371523	0.037091862	0.14468291	0.78835505	0.02094186
i	0.00855712	0.010817731	0.0022509487	0.014214188	0.04724522	0.43060216	0.014351077	0.47196156
n	0.0004442006	0.00059861346	0.0026427472	0.0116142845	0.015339075	0.30621532	0.12943685	0.5337089
A	0.0045588724	0.002061716	0.008107129	0.0008691904	0.012334957	0.02398102	0.8727813	0.07530589
n	0.005834434	0.0022697307	0.003211336	0.009231711	0.04248308	0.2651344	0.32398722	0.34784818
n	0.0013071498	0.00043002144	0.0024894367	0.00075976766	0.0048376536	0.0119947605	0.94038665	0.03779457
a	0.02501756	0.027779995	0.0027325843	0.04323308	0.03701392	0.17469926	0.13620432	0.55331933
</S>	0.00051529123	0.00035884156	0.0008725457	0.00537746	0.0075779096	0.083631605	0.0985988	0.8030675
