 	deve	che	entra	da	qui	</S>
è	0.9864016	0.010700076	0.0028391273	1.0335402e-05	1.5478558e-06	4.729012e-05
n	0.67679465	0.020984292	0.16768858	0.03587881	0.011217417	0.0874362
g	0.5409607	0.029519381	0.24225757	0.004027304	0.005468164	0.17776689
h	0.08336637	0.33076245	0.5518549	0.020130988	0.00041739203	0.013467914
i	0.065131046	0.173561	0.7516973	0.0077620316	0.00032339978	0.001525227
s	0.15113966	0.47337863	0.374514	0.0007890937	3.4355978e-06	0.00017517398
e	0.012174518	0.07608588	0.8806379	0.012652918	0.0016205589	0.016828096
n	0.15938886	0.16009243	0.6229991	0.056672506	0.0001124564	0.0007346833
a	0.0032118876	0.02086512	0.9319142	0.008401881	0.0019931549	0.03361381
m	0.14788914	0.083848685	0.3030422	0.46040294	0.000525187	0.0042919223
b	0.0035212066	0.017883219	0.88246655	0.03140016	0.002646771	0.062081996
i	0.097168885	0.043055017	0.2991866	0.4227604	0.022706978	0.11512208
a	0.027040314	0.03686716	0.03067326	0.8659286	0.003690617	0.035799917
p	0.005012959	0.011058716	0.021275572	0.935216	0.016281115	0.011155547
ò	0.010448052	0.016696377	0.023950053	0.8129683	0.040761903	0.09517533
t	0.020898307	0.019187609	0.013907619	0.8237619	0.10460311	0.01764149
t	0.0011088566	0.006697598	0.0058276122	0.04146778	0.89380246	0.05109558
ù	0.0061966036	0.0078038406	0.027475022	0.057461087	0.7005078	0.20055565
</S>	0.0026935579	0.00162308	0.0026000293	0.056735728	0.6761451	0.2602025
