 	io	voglio	che	Maria	venga	qui	</S>
e	0.9965013	0.0003411811	0.0028399308	0.00023674838	1.5031681e-05	1.3624751e-06	6.4387255e-05
v	0.76179945	0.17683117	0.053767025	0.0026439351	0.0005656193	0.0012536696	0.0031391354
ò	0.9298079	0.03097921	0.014516393	0.0024800976	0.0005373494	9.6088326e-05	0.021583011
t	0.6799083	0.2660308	0.047633346	0.0011841864	0.00016126205	5.9473354e-05	0.0050226417
è	0.45877337	0.29870522	0.020450648	0.01258795	0.0033905616	0.004969733	0.20112251
l	0.27769333	0.6408726	0.08014044	0.0012264275	2.848178e-05	8.5718307e-07	3.7866943e-05
o	0.055709068	0.8502282	0.021580439	0.05078622	0.0040920344	0.0003557005	0.017248519
n	0.30564576	0.033306923	0.62654895	0.032529846	0.0018969768	3.4734337e-06	6.804802e-05
a	0.04286097	0.63254374	0.03837779	0.21859545	0.03790551	0.00031198558	0.02940449
r	0.18273026	0.043453615	0.68217033	0.072900064	0.018153394	0.0001115756	0.00048067034
t	0.020465232	0.24309984	0.07902207	0.422243	0.19553787	0.00066025095	0.038971715
i	0.050861087	0.14527522	0.5475824	0.21095765	0.033469573	0.0010809252	0.01077318
e	0.117953405	0.04354859	0.54566693	0.17209451	0.105074435	0.0007094892	0.014952593
M	0.003943976	0.02013902	0.085547134	0.3189548	0.5689081	0.00090397923	0.0016030086
a	0.007700369	0.0019555348	0.0396106	0.47834212	0.4246052	0.0009596548	0.0468265
r	0.24058081	0.04755845	0.4856887	0.16076975	0.061362877	0.0011280787	0.0029113556
ì	0.010846586	0.057302292	0.039956946	0.45161647	0.40995964	0.00813993	0.022178056
a	0.22361007	0.23192759	0.51514155	0.012867041	0.0026368944	0.011410547	0.0024063075
e	0.0017710632	0.0023775315	0.03530926	0.07758172	0.6405268	0.15462258	0.08781106
t	0.0055046873	0.0057239495	0.08599728	0.06115371	0.06386036	0.671693	0.10606697
t	0.0018517328	0.0023653097	0.024234936	0.03674848	0.073509894	0.78546697	0.07582267
ù	0.007894968	0.022539109	0.05645037	0.010849598	0.0022234982	0.5027616	0.39728084
</S>	0.0020087273	0.0015923762	0.0134089785	0.0050262287	0.004677898	0.7910808	0.18220505
