 	che	non	li	aspettiamo	</S>
n	0.9861092	0.011781342	0.0018256012	7.059057e-06	0.0002768905
a	0.2329097	0.12891576	0.061657067	0.3102247	0.26629275
m	0.1025807	0.7499126	0.1297102	0.006169592	0.011626942
i	0.058615845	0.18375717	0.21598358	0.3661739	0.17546953
t	0.06266273	0.11458483	0.8045617	0.016020102	0.0021705728
u	0.005914848	0.02796242	0.061198514	0.826943	0.07798126
s	0.051869705	0.085903026	0.7158753	0.120256305	0.026095659
m	0.0016430167	0.008479642	0.051354926	0.8447426	0.09377985
ì	0.051868685	0.010098356	0.78711325	0.06712114	0.08379857
n	0.02922542	0.04646694	0.373973	0.2074276	0.34290704
o	0.015616562	0.049186442	0.5386232	0.22445749	0.17211623
m	0.13320655	0.05217916	0.15201122	0.20272608	0.45987695
e	0.0032952991	0.0111625455	0.08608161	0.39849555	0.500965
</S>	0.034849055	0.018409675	0.024837434	0.08925387	0.83265
