 	avete	cucinato	le	verdure	</S>
è	0.9963307	0.0035413704	8.375235e-05	3.9203264e-06	4.0209274e-05
c	0.39737862	0.018032027	0.03059383	0.50324154	0.050754003
h	0.63866705	0.29159182	0.017496042	0.0010532344	0.051191833
e	0.7900337	0.20634818	0.0024716847	0.00022662761	0.00091980683
t	0.90567565	0.06495836	0.018928438	0.000534089	0.009903459
e	0.4154745	0.19083004	0.2927928	0.0026703565	0.0982323
m	0.6774639	0.11201531	0.20894846	0.00035376358	0.0012186276
a	0.216355	0.26021406	0.37821877	0.005857235	0.1393549
r	0.26952162	0.06807533	0.6568325	0.0013212386	0.0042492235
à	0.11869633	0.05432148	0.7409499	0.016974403	0.069057934
t	0.20872585	0.031094516	0.72926724	0.024599675	0.0063125994
a	0.1003971	0.08441345	0.7200252	0.015180624	0.079983644
t	0.38946736	0.16268753	0.26103127	0.004080569	0.18273318
a	0.059107095	0.0180615	0.30640724	0.22629797	0.3901262
l	0.10460139	0.018450435	0.25862998	0.08712598	0.5311922
à	0.07991443	0.015348113	0.19115442	0.17135666	0.54222643
c	0.079353355	0.008166993	0.033640563	0.58017385	0.29866526
h	0.34991395	0.002899326	0.037936915	0.012390147	0.59685963
a	0.03935748	0.08226627	0.03306925	0.58960074	0.2557063
n	0.004500251	0.0020150947	0.01906602	0.006239024	0.9681796
a	0.26613232	0.1037938	0.21969573	0.010551227	0.39982697
</S>	0.014911387	0.0030428628	0.011619009	0.023232978	0.9471938
