 	non	deve	parlare	davanti	a	Anna	di	questo	</S>
e	0.97327256	0.022314185	0.0021504308	0.0021461388	0.00010085015	1.1661739e-06	2.608547e-06	2.5641602e-06	9.499947e-06
n	0.7041153	0.22729936	0.041234136	0.0017427483	0.0063111363	0.01428954	0.002032444	0.0004417529	0.0025336558
è	0.1249489	0.7761221	0.064584956	0.001764596	0.0034949149	0.00061341055	0.00017259923	5.744462e-05	0.02824107
n	0.06806236	0.8878648	0.040144138	0.0009261014	0.0010406243	0.00042410564	0.00010062063	3.9367922e-05	0.0013978328
a	0.0940335	0.5044283	0.11730441	0.0052854307	0.021025356	0.0030284321	0.0008979359	0.0018045582	0.25219205
m	0.0039860867	0.16512561	0.82686913	0.0032529999	0.00070257566	1.16132505e-05	2.720972e-06	1.1108851e-06	4.8123926e-05
i	0.01766418	0.20760451	0.5602249	0.063426666	0.06510614	0.0036603017	0.000890628	0.00055154617	0.080871195
l	0.003944152	0.046303947	0.90840864	0.03385896	0.0073255445	3.610141e-05	1.7022341e-05	4.533336e-06	0.00010105791
ì	0.005894658	0.08001317	0.6282256	0.19003554	0.057070825	0.011117907	0.00067172054	0.00020923643	0.026761392
s	0.03243268	0.033995576	0.8040417	0.098052144	0.026936904	0.002515115	0.00022798663	4.6163506e-05	0.0017516545
i	0.006329944	0.02474162	0.39185607	0.37886947	0.10282738	0.0067290883	0.0016898743	0.0039375755	0.083018966
m	0.0030295937	0.010184152	0.12685852	0.3413633	0.51726025	0.00051442615	0.00034780454	1.4896554e-05	0.00042702002
b	0.0012522663	0.015775792	0.111053914	0.7180156	0.117377765	0.005295976	0.0019606694	0.0006349837	0.028633
r	0.0013693749	0.0002728282	0.001285188	0.96094215	0.032321014	0.00059778563	0.0013361344	0.00033956705	0.0015360168
ò	0.0007975182	0.0007041793	0.0020904425	0.95769066	0.036324833	0.00026620255	0.00063181785	0.00031224114	0.0011820178
s	0.0024906152	0.0020074656	0.012816592	0.077703245	0.89292586	0.0065763597	0.002243562	0.00017690539	0.0030594217
t	0.006007039	0.025024287	0.07492549	0.24588569	0.23240604	0.029687535	0.031126514	0.048876803	0.3060606
i	0.0129723605	0.0015145524	0.0026393703	0.5040768	0.36493927	0.043077562	0.025206096	0.008842886	0.036731165
n	0.0036693108	0.01762237	0.05119745	0.030458746	0.6780268	0.10413468	0.077842794	0.0024132056	0.034634646
A	0.0036429835	0.013035754	0.02652508	0.016438475	0.0455132	0.61386746	0.027089065	0.020604216	0.23328373
n	0.030504147	0.0155894095	0.024218662	0.005061437	0.06384532	0.5478593	0.29374254	0.0025093402	0.016669795
n	0.002748491	0.0060733664	0.008893205	0.003486329	0.018925318	0.75689876	0.026962727	0.023616288	0.15239559
a	0.045195006	0.0040348056	0.009095488	0.031185757	0.055560645	0.06825869	0.14557105	0.19599433	0.44510427
à	0.0025943783	0.0019400185	0.00515182	0.0016192272	0.018664984	0.01284858	0.8985286	0.016109722	0.042542666
t	0.00058264955	0.0011975407	0.0013878274	0.00074595923	0.0031255526	0.066342816	0.86875904	0.029281106	0.028577399
s	0.0019677205	0.0065546976	0.00820615	0.0023048234	0.007467126	0.32793406	0.34863186	0.24153975	0.055393893
e	0.0192727	0.0015955626	0.006065451	0.0048015905	0.012406622	0.005313006	0.13244279	0.26486093	0.5532414
t	0.001186516	0.0011082282	0.0022855387	0.0007044421	0.0038201471	0.0012687633	0.65140903	0.14552279	0.19269465
ù	0.0029581068	0.010220049	0.02307217	0.009534854	0.009011952	0.01713058	0.23677397	0.24566136	0.44563693
o	0.0028447367	0.001318412	0.002160228	0.00077375054	0.0019485841	0.0012260289	0.57109165	0.3528676	0.06576902
</S>	0.00047504876	0.0037787603	0.0033069286	0.0012985377	0.0033809138	0.0069011957	0.26655167	0.52506137	0.18924558
