 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.980566	0.019168995	0.000125245	7.1638e-05	4.953784e-05	1.4917867e-05	1.9802826e-07	3.4929876e-06
è	0.6671091	0.18766135	0.01246492	0.047028042	0.012718237	0.011962426	0.0010316727	0.060024258
o	0.77672744	0.20019543	0.000593338	0.012060711	0.0049448228	0.00034278302	2.4114912e-05	0.0051114038
p	0.15962367	0.81870073	0.010434297	0.007548002	0.00041838852	0.00011823911	2.2404944e-05	0.003134219
p	0.040503275	0.9027984	0.015366361	0.016136177	0.0006655113	0.00037384246	2.7559696e-05	0.02412882
ò	0.017663607	0.9397543	0.017307922	0.01334653	0.009896779	0.0010459464	9.5947025e-06	0.0009752687
r	0.15242311	0.4705456	0.20863156	0.16314231	0.0020005147	0.00013849029	3.1588113e-06	0.0031153245
k	0.007938794	0.07592833	0.82107145	0.044830646	0.0026232186	0.0017585391	0.0031108323	0.04273821
e	0.14890759	0.09727798	0.6358655	0.06992033	0.016046423	0.026295273	7.7087054e-05	0.005609837
t	0.041082397	0.122741766	0.55194885	0.25967202	0.022990458	0.0011296436	5.1153957e-06	0.00042969504
e	0.002224303	0.055581734	0.6599094	0.23315911	0.0087074395	0.004591998	0.0037667332	0.032059245
e	0.040571947	0.03328475	0.12829141	0.4882399	0.3015579	0.0070555164	0.0001584349	0.0008401797
t	0.001873906	0.010901613	0.017137818	0.4813785	0.48440182	0.0016432453	0.00020830016	0.002454775
r	0.0030960531	0.015071061	0.030034019	0.7245581	0.19147918	0.0030968757	0.0002922734	0.032372415
ò	0.016615855	0.0219459	0.07408981	0.22310056	0.39232814	0.1100841	0.0025251952	0.15931039
o	0.016030286	0.0039674314	0.008190866	0.07240681	0.85440046	0.038249306	0.0002553918	0.0064995578
p	0.0007165296	0.0026229906	0.0028652837	0.024155058	0.850479	0.103760935	0.002350877	0.013049367
ò	0.000977708	0.006146369	0.0028849184	0.039288227	0.76525927	0.12191609	0.00579791	0.05772963
s	0.0070268307	0.005216407	0.0052722367	0.025111835	0.30187228	0.6249072	0.012661355	0.017931871
s	0.0015972678	0.0069346	0.02296733	0.013673627	0.096012585	0.38488412	0.36830562	0.10562483
a	0.0013640535	0.0024791453	0.01672848	0.0016520236	0.02193706	0.92294323	0.021801617	0.0110944
t	0.0011476781	0.0007788838	0.0020410698	0.00711134	0.07726906	0.5982635	0.089710474	0.223678
è	0.00075722334	0.011869374	0.007196973	0.007646781	0.017561566	0.14412181	0.6522117	0.15863457
l	0.009819828	0.0031503504	0.0052809506	0.0043232734	0.025090305	0.11559683	0.69389325	0.1428453
o	0.00021545759	0.0021370668	0.0026739552	0.0013825503	0.0065928292	0.03485007	0.8971149	0.055033192
</S>	0.0027176836	0.00081283547	0.0020643522	0.0027011235	0.023389522	0.05173622	0.08417799	0.83240026
