 	non	ti	dimentichiamo	mai	</S>
e	0.9875488	0.01156897	0.00033828494	2.864504e-05	0.0005153406
s	0.7612053	0.19835138	0.018547194	0.0056297802	0.01626634
e	0.36384463	0.5878814	0.004081696	0.0007154171	0.043476902
a	0.049271554	0.92381126	0.019839976	0.00022029421	0.0068569933
l	0.048726376	0.8915463	0.037271924	0.003969447	0.018485913
l	0.0649626	0.47477213	0.19417477	0.023693455	0.24239704
i	0.13552342	0.07298544	0.5685307	0.10932606	0.11363443
m	0.051104043	0.22742884	0.67226624	0.005336536	0.04386432
o	0.004459721	0.07094776	0.7687453	0.051286966	0.10456027
n	0.06680744	0.3491311	0.3456917	0.1760866	0.0622832
ù	0.008098844	0.15774618	0.22216274	0.2366916	0.37530068
m	0.26526952	0.14790241	0.16313925	0.360468	0.06322083
e	0.0027647144	0.06739382	0.16127083	0.45843136	0.3101393
m	0.029823339	0.08199491	0.038109165	0.57634264	0.27372995
à	0.001708569	0.052131202	0.034232114	0.49510473	0.4168234
i	0.022374604	0.0096058035	0.0072649126	0.8791291	0.08162558
</S>	0.0013320297	0.009027528	0.001744592	0.35848427	0.6294116
