 	mi	si	gonfiò	il	dito	</S>
m	0.977557	0.013559633	0.008852336	7.5020494e-06	5.931826e-06	1.7551534e-05
u	0.20500845	0.033026986	0.6617413	0.019090774	0.0053864205	0.07574614
p	0.104722805	0.15001129	0.7420904	0.0009911632	0.0002702046	0.0019141517
r	0.024653897	0.037960093	0.92729384	0.0038264573	6.173357e-05	0.006204041
ì	0.011340164	0.0051334957	0.98163927	0.0015499346	3.9753333e-05	0.0002973118
s	0.16337968	0.2327562	0.59783953	0.003984019	5.7246794e-05	0.0019832987
t	0.0154263945	0.033271316	0.92090094	0.0068396754	0.0025881375	0.020973453
i	0.069329776	0.04090135	0.82565224	0.05186955	0.0009942137	0.0112528335
t	0.023702275	0.0348278	0.613996	0.31237024	0.0017810782	0.0133225275
o	0.005977753	0.0065379045	0.8169284	0.05052537	0.055294804	0.064735845
d	0.006358419	0.005634722	0.029682055	0.9300312	0.017226478	0.011067083
à	0.0036838471	0.0076910136	0.12379199	0.6450446	0.025982559	0.19380592
t	0.014650463	0.0102828555	0.006320525	0.912934	0.05239917	0.003413064
t	0.004321404	0.006767118	0.009598647	0.25060937	0.6272029	0.10150053
i	0.2529863	0.009582627	0.12121474	0.36814627	0.16108178	0.08698819
l	0.004272754	0.00564718	0.057612557	0.23570198	0.40886256	0.28790292
o	0.0022813948	0.0047206413	0.028587814	0.034536686	0.85841876	0.07145475
</S>	0.031163456	0.026706394	0.00979552	0.22475466	0.20027342	0.5073066
