 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
o	0.9927289	0.0072514946	7.614191e-06	5.5964283e-06	5.327125e-07	4.0015666e-06	5.8420653e-07	2.3133741e-07	7.8455884e-08	1.5741095e-07	4.752062e-07	2.43988e-07
m	0.35586774	0.5284616	0.015603822	0.06242002	0.014842284	0.006000825	0.0067742914	0.0027860359	0.0040929257	0.0011079697	3.4866804e-05	0.002007678
a	0.012838903	0.9861688	0.00021393018	0.00030381404	4.836323e-05	0.00010075121	5.5741384e-05	2.3768092e-05	1.5482367e-05	6.274788e-06	1.9788665e-06	0.00022226176
r	0.27249756	0.72412133	0.0011975842	0.0019074642	3.6266036e-05	8.756922e-05	9.334843e-05	1.5201511e-05	1.2918098e-05	3.3998922e-06	7.812529e-07	2.6700303e-05
ì	0.007744965	0.98517716	0.004716401	0.0010021931	9.9110446e-05	9.0795555e-05	0.00036783124	5.5928394e-05	0.00010202112	2.0634467e-05	8.225902e-06	0.00061473
o	0.3162209	0.5627928	0.110741764	0.008845955	0.00023888098	0.0003891175	0.00056397956	8.3590225e-05	6.033383e-05	4.145404e-06	3.7617517e-06	5.47202e-05
t	0.0020918539	0.9092408	0.08559503	0.0024417727	8.62251e-05	6.255457e-05	0.00025390647	2.5471689e-05	7.7879464e-05	7.027772e-06	5.584819e-07	0.000116897434
è	0.0035539987	0.8662407	0.12331004	0.0044466583	0.00012872588	0.00022406857	0.0010295111	8.3404426e-05	0.00018594619	1.2313703e-05	3.7456064e-06	0.0007808655
l	0.010072496	0.060799114	0.87237054	0.052179556	0.0012242062	0.0010405584	0.0018516377	0.0002058492	0.000114160495	2.8632021e-05	2.5138515e-06	0.00011077485
i	0.0035549065	0.5770692	0.40741834	0.004674456	0.0002581523	0.00070436805	0.0019516078	0.00026609126	0.00054890435	2.338188e-05	2.4484561e-05	0.003506145
f	0.017243756	0.027464211	0.45552292	0.49506518	0.0030190053	0.0010549364	0.0005107425	4.701786e-05	5.0631006e-05	6.4799215e-06	6.689969e-07	1.4444719e-05
a	0.0016819908	0.122057654	0.83316743	0.027205631	0.0021059604	0.0027491914	0.0050121965	0.0011798611	0.0014238474	5.9358837e-05	2.3407536e-05	0.003333523
m	0.0030068557	0.002154288	0.15797535	0.82728255	0.008113804	0.00071195286	0.0006045963	4.5509107e-05	6.990615e-05	1.4458634e-05	6.843085e-07	1.9961573e-05
è	0.002149282	0.042106453	0.6184354	0.3037641	0.007226606	0.0058951606	0.010963727	0.0012912472	0.0018956327	0.00014429192	2.1712995e-05	0.0061064134
n	0.007327203	0.0018019237	0.116343334	0.7505615	0.10866732	0.005117442	0.0075046257	0.0010046816	0.0007769777	0.0001487477	1.0287354e-05	0.00073600915
o	0.0034592145	0.065485194	0.49840608	0.33552057	0.03726911	0.0075826775	0.0147953285	0.0034512503	0.0074149445	0.0003158452	0.00011207026	0.026187759
a	0.0011855664	0.0009459725	0.012772062	0.64652985	0.300611	0.03148221	0.0053605903	0.0004998766	0.00044534614	0.00011614286	1.861868e-06	4.9463488e-05
p	0.00062646857	0.0023227136	0.0047501605	0.2412449	0.687385	0.041740723	0.01764456	0.0016183029	0.002129001	0.00037442893	2.8177108e-06	0.00016100754
p	0.001458574	0.002581452	0.0032640004	0.1560066	0.76157784	0.051408052	0.0178119	0.0021708175	0.0024460168	0.0007204813	3.9061765e-06	0.0005503047
è	0.0027573837	0.007333656	0.005590381	0.09318613	0.7258081	0.11028452	0.026313022	0.008228276	0.005445832	0.0043837894	8.097336e-05	0.010587949
n	0.0010316418	0.00020789486	0.0009905944	0.01854491	0.7712216	0.15576036	0.036606792	0.008590398	0.004139113	0.0009998062	1.9546154e-05	0.0018874254
a	0.0022884293	0.0025255394	0.0039512147	0.03715632	0.835529	0.039887633	0.024636755	0.009249362	0.015919797	0.0006874876	0.00019722094	0.027971147
o	0.000798525	0.00022156684	0.0013598487	0.0196273	0.22849496	0.44123268	0.23730798	0.052467857	0.012905048	0.0047962316	3.9027273e-05	0.0007489707
m	0.00030662908	0.0008953225	0.0007661262	0.006029099	0.123225786	0.39033294	0.32452762	0.1006487	0.035727754	0.016106572	7.885069e-05	0.0013545823
a	0.0017846938	0.0060484856	0.003142243	0.0324743	0.30932322	0.31988785	0.20779976	0.06117236	0.02564958	0.005750207	0.00012726363	0.026840106
r	0.0006998659	0.00030332658	0.0008721438	0.0048550516	0.0641757	0.17611021	0.4440743	0.18141468	0.057728756	0.06880217	0.00016894891	0.00079478236
è	0.0027548792	0.007542983	0.0036735525	0.020106029	0.1601178	0.18968692	0.3420632	0.14518483	0.06484211	0.014541054	0.0003922026	0.049094386
i	0.0016633335	0.0003641454	0.0012928385	0.0021975946	0.022945631	0.079830915	0.33001605	0.25074545	0.16031203	0.14245982	0.0020420775	0.00613011
k	0.00030983417	0.00071663165	0.0003667835	0.00080935255	0.0057477057	0.02589675	0.16430259	0.20290364	0.24207482	0.34080023	0.0022054596	0.013866251
a	0.0034642112	0.0108193075	0.0027969594	0.016996643	0.04041263	0.06292826	0.29918528	0.23716286	0.15722264	0.08536446	0.0022246393	0.08142209
è	0.00028889647	0.00013463844	0.0005502762	0.0012803191	0.0045017707	0.006667204	0.0601829	0.07949925	0.24185869	0.59520304	0.007629617	0.0022034005
p	0.0030605074	0.0016311967	0.0010857764	0.0022658654	0.002473872	0.012493832	0.0355072	0.061160494	0.06262484	0.7613263	0.036285706	0.020084366
l	0.0006261121	0.0007465438	0.00035444056	0.0006098091	0.0011251	0.0032273782	0.020313175	0.036974788	0.12917796	0.75960267	0.0174427	0.029799262
è	0.037634827	0.024071578	0.0028013405	0.009231284	0.010395089	0.013338015	0.02311406	0.11474827	0.09588564	0.14802022	0.10640115	0.41435853
o	0.00029611023	7.060162e-05	0.0003926087	0.00041655972	0.0009429894	0.0011803206	0.0068836235	0.013194298	0.13344653	0.6779793	0.11594213	0.049254917
s	0.00045555294	0.0010066752	0.0004389324	0.00068782474	0.0009919124	0.0015116236	0.0061873742	0.0083985375	0.07766322	0.7059852	0.09088094	0.10579225
a	0.007797829	0.00886885	0.00207619	0.012877951	0.008089351	0.008591795	0.029011462	0.024648044	0.109677896	0.43626958	0.11288653	0.23920447
p	0.00051386753	0.0002767667	0.0010900073	0.0015804446	0.0026177457	0.0022220374	0.0100209005	0.00906621	0.060178876	0.547393	0.24839382	0.11664633
o	0.0024201164	0.0016087479	0.0011551826	0.0048352247	0.0012801213	0.002411624	0.005340308	0.0038248939	0.017079143	0.49540403	0.26024002	0.20440055
r	0.0011647681	0.0005312793	0.0009983124	0.0020035382	0.0014707459	0.001985654	0.005018971	0.0037407326	0.020874143	0.5526289	0.24359503	0.165988
ì	0.022058599	0.0073704626	0.0030956955	0.012150912	0.004185948	0.004999469	0.011376575	0.008757947	0.052107416	0.43528348	0.26053783	0.1780756
t	0.0011849449	0.00030151138	0.0010901222	0.0012038599	0.001309009	0.0014414103	0.0028769802	0.0035661366	0.016457882	0.26024488	0.32946575	0.38085747
