 	il	lenzuolo	vuole	lavato	</S>
o	0.9994331	0.0005061382	4.778762e-06	1.6252889e-06	5.4292854e-05
p	0.8315469	0.10011355	0.029032141	0.006027507	0.03327992
l	0.3603658	0.30878776	0.033445958	0.0023899248	0.2950106
a	0.061132763	0.08171173	0.6619208	0.010847856	0.18438691
ù	0.3331979	0.1181968	0.51309997	0.0045440365	0.030961331
n	0.040309384	0.13085324	0.7941682	0.014151159	0.020518053
a	0.002292576	0.00784632	0.93386513	0.01224102	0.043755
t	0.054315742	0.024313718	0.79296005	0.0829091	0.045501333
è	0.0007737325	0.002512579	0.95301014	0.018039204	0.025664307
l	0.046849124	0.02941091	0.6869993	0.21815883	0.018581806
i	0.0013603595	0.0051841545	0.7050389	0.11069833	0.17771824
p	0.02219668	0.010287035	0.025328524	0.4038842	0.53830355
l	0.0023672124	0.0062374435	0.07410146	0.33349937	0.5837945
i	0.01318718	0.037768956	0.05086781	0.15168418	0.74649185
m	0.00677973	0.010012656	0.009829796	0.37119046	0.6021874
è	0.0034516023	0.022797724	0.010319519	0.4879424	0.47548875
n	0.007031018	0.0054201153	0.0036938966	0.23603094	0.7478241
o	0.008821863	0.050074674	0.005930682	0.69234353	0.24282923
</S>	0.0019416099	0.0016656434	0.0017279695	0.032936413	0.96172833
