 	non	ha	mangiato	mai	un	rustico	</S>
e	0.985851	0.013149939	0.0008891722	7.025544e-05	5.897053e-06	1.0697223e-05	2.3033508e-05
n	0.78603756	0.073568285	0.0735851	0.021954603	0.034415465	0.00054655585	0.009892441
è	0.23092148	0.46446267	0.15786806	0.009226615	0.012041352	8.724743e-05	0.1253926
c	0.07310031	0.5601218	0.34365603	0.01207747	0.0070399474	3.8377722e-05	0.0039660684
h	0.10417986	0.19828373	0.34843573	0.052654035	0.041321274	0.0005510685	0.25457433
i	0.31226984	0.20869845	0.39305326	0.065653175	0.008808884	0.0049530366	0.0065634754
f	0.0095513165	0.07108033	0.90656763	0.011409031	0.0007981314	1.0058774e-05	0.0005835961
a	0.013598703	0.052292597	0.6193003	0.18371193	0.05964344	0.007790638	0.063662365
m	0.0072447383	0.022189744	0.57967913	0.3833075	0.007137665	2.462121e-05	0.00041658973
è	0.0038091135	0.023119058	0.61877835	0.23764078	0.04694884	0.00079344545	0.06891033
n	0.005182696	0.005242968	0.13189629	0.84113276	0.016184231	2.0699006e-05	0.0003404668
a	0.0040762676	0.019512083	0.21031652	0.5670361	0.06196018	0.0044239704	0.13267489
m	0.0045045996	0.006029965	0.032822374	0.7045079	0.25086987	0.00027832566	0.0009869651
à	0.0023603414	0.016926484	0.09492489	0.65653706	0.100307524	0.005871064	0.12307258
i	0.006261656	0.0048578554	0.009425694	0.38905287	0.58813787	0.00069647207	0.0015675749
è	0.0004324314	0.00112694	0.0052275504	0.06614301	0.89480025	0.0015753823	0.03069451
n	0.0022012442	0.004275044	0.0056365724	0.03851714	0.8905889	0.021000264	0.037780873
a	0.001308135	0.007285667	0.009655329	0.055961527	0.7124114	0.13548692	0.077891044
n	0.0011754711	0.009092481	0.012264887	0.053467672	0.7549889	0.09872718	0.070283405
r	0.0036909343	0.023699172	0.011636175	0.016175125	0.13373794	0.659682	0.15137868
ù	0.006067436	0.013439222	0.003135036	0.0047255945	0.008364682	0.7264971	0.23777084
s	0.0052293064	0.0043319124	0.0051939636	0.012835338	0.21336892	0.38621238	0.3728282
t	0.0010299585	0.006763042	0.0032282716	0.010299659	0.019769292	0.8865413	0.072368465
i	0.00025669867	7.5102595e-05	0.00020592786	0.000637375	0.00044609373	0.9946576	0.0037211245
k	0.0005277073	0.0021649445	0.0063423337	0.031119136	0.09536159	0.07735937	0.787125
o	0.0013378145	0.006568402	0.0019921614	0.0029813664	0.005973638	0.90725505	0.073891565
</S>	0.011291881	0.0157021	0.012325596	0.01976188	0.30784106	0.037267406	0.59581006
