 	dei	genitori	</S>
à	0.97847456	0.00057058316	0.020954886
t	0.16588706	0.5798316	0.2542813
t	0.228886	0.47071725	0.30039677
u	0.76376843	0.13093206	0.105299495
s	0.6462401	0.056619525	0.29714036
g	0.025059093	0.8680727	0.10686823
e	0.47215512	0.2906382	0.2372067
n	0.23661178	0.26894012	0.49444813
i	0.01280694	0.8930366	0.09415643
t	0.47833216	0.058276203	0.46339157
ò	0.026331637	0.8593142	0.11435417
r	0.186582	0.42565426	0.38776374
u	0.02187054	0.9170776	0.061051864
</S>	0.009104344	0.01010776	0.9807879
