 	sta	e	dorme	nel	letto	</S>
s	0.9856656	0.014243274	3.484014e-05	1.58713e-05	1.4207315e-06	3.8848713e-05
t	0.38935494	0.056897637	0.033530466	0.021419438	0.391261	0.10753658
e	0.8856905	0.11160225	0.001909212	0.00051329733	7.670964e-05	0.0002078668
c	0.17682008	0.8087307	0.012962918	0.00013255942	6.2292915e-05	0.0012914146
e	0.033316102	0.14555782	0.074586816	0.010372542	0.34111035	0.39505637
p	0.16460228	0.6836193	0.14627804	0.003974433	9.5543204e-05	0.0014304125
l	0.034789078	0.14949577	0.77694196	0.012919834	0.018246735	0.0076067043
ò	0.08139851	0.26616573	0.5612349	0.050189923	0.0068803946	0.034130514
n	0.08828978	0.069242	0.7159771	0.11820384	0.0007852082	0.00750198
n	0.01352723	0.028436849	0.8210121	0.06753374	0.023411788	0.04607824
i	0.292966	0.032069724	0.071993776	0.53741866	0.037182935	0.028368928
s	0.04645116	0.094081715	0.12892245	0.6657661	0.009028851	0.055749707
t	0.0031304592	0.01765383	0.22789982	0.64621603	0.04812039	0.056979463
o	0.053797424	0.0062229354	0.036030956	0.73896337	0.10868409	0.056301203
g	0.026465373	0.06296295	0.11985735	0.19805597	0.1585449	0.4341134
r	0.0028357543	0.008491635	0.04454096	0.16843194	0.6818258	0.09387394
à	0.038771484	0.044990957	0.20559837	0.18024568	0.1966308	0.3337627
t	0.036096606	0.0137206605	0.013159793	0.047001667	0.8329739	0.05704734
t	0.0053958725	0.012668106	0.020315735	0.04127128	0.7873931	0.13295586
i	0.13174035	0.018576495	0.06822096	0.3107101	0.22224984	0.2485022
</S>	0.0033565783	0.004684599	0.011127812	0.013453781	0.2214986	0.7458786
