 	mio	padre	ha	lavorato	sempre	</S>
o	0.98247737	0.017147066	0.00027266712	8.013624e-05	4.064212e-06	1.8709643e-05
c	0.767609	0.12684484	0.06831258	0.005844469	0.0060491497	0.025339868
i	0.08630323	0.81756383	0.018139778	0.031256117	0.0023864398	0.044350583
ù	0.31661934	0.6717482	0.0019261249	0.009550718	3.3213757e-05	0.000122277
r	0.17827034	0.7909163	0.028578687	0.0009973838	2.1502929e-05	0.0012157849
i	0.050238635	0.86479396	0.038682565	0.007376204	0.0023614545	0.03654712
m	0.43998796	0.08622991	0.4480361	0.025014006	9.302639e-05	0.00063899683
m	0.032231547	0.7382672	0.08620211	0.109716095	0.0015774418	0.032005634
u	0.17781441	0.512761	0.2498021	0.04143811	0.0052070715	0.012977343
è	0.0777439	0.031474512	0.72839123	0.15796313	0.00019014424	0.0042369906
p	0.0038573684	0.0030154623	0.051557664	0.9400567	0.00050291093	0.0010099242
o	0.0023304198	0.0016758026	0.09572082	0.88003165	0.006221563	0.0140197
l	0.02229256	0.0039375415	0.13585807	0.8158321	0.0020169641	0.020062739
e	0.0039997846	0.0046478054	0.05711152	0.7479045	0.02261957	0.16371693
m	0.08192255	0.011121981	0.4029083	0.24138895	0.06145434	0.20120387
i	0.008996114	0.0033898372	0.030749036	0.6709066	0.058821663	0.2271368
m	0.074629955	0.009081667	0.15817977	0.14057775	0.14919879	0.46833205
m	0.011631938	0.0060372693	0.02544048	0.3885658	0.118863314	0.4494612
è	0.031608723	0.0110937795	0.011936729	0.030765038	0.78491926	0.12967655
n	0.0037177436	0.00073363434	0.009688334	0.011942225	0.57853895	0.39537904
a	0.0517682	0.008715936	0.035972275	0.25274563	0.39522475	0.25557324
p	0.022895688	0.0020008862	0.04246546	0.00942439	0.3543721	0.56884146
à	0.005965422	0.003658462	0.009264423	0.03163834	0.26119745	0.6882759
n	0.03404547	0.011351294	0.022955043	0.0211158	0.24438372	0.6661487
t	0.04545811	0.0023874266	0.09151466	0.056666754	0.39101833	0.41295475
a	0.010418123	0.0010075745	0.006009208	0.0029169484	0.96224296	0.017405136
</S>	0.002208848	0.00118169	0.0116308015	0.011469772	0.11973944	0.8537694
