 	tu	le	hai	cucinati	le	verdure	</S>
e	0.99881697	0.0009976872	9.862082e-05	8.312479e-05	2.4315857e-06	6.508993e-08	1.2084969e-06
s	0.76407427	0.08376344	0.023349747	0.002171065	0.005404064	0.07753891	0.043698467
ù	0.105887696	0.78769624	0.048826005	0.003701987	0.001480033	0.002887111	0.049520973
t	0.14072207	0.8128635	0.032894548	0.0060628653	0.0007032778	0.0018876649	0.004865975
a	0.10215719	0.5944725	0.16569656	0.01181004	0.003848084	0.005119391	0.11689616
m	0.069733866	0.67955816	0.1331412	0.11479	0.002522535	7.155184e-06	0.00024709647
à	0.017639328	0.7374217	0.10259789	0.10004765	0.016007185	0.00063583656	0.025650464
r	0.0689997	0.27582738	0.44197726	0.19677463	0.013888114	0.0008250102	0.0017080349
e	0.021397268	0.17392044	0.06914231	0.67411196	0.035649996	0.0012979177	0.024480218
t	0.06238717	0.041263957	0.09203727	0.31211913	0.49057972	9.533808e-05	0.0015174713
s	0.002818109	0.031944554	0.028998658	0.7781127	0.061934315	0.015363634	0.08082808
e	0.07787334	0.019618006	0.0063780267	0.71017265	0.1738553	0.0020924334	0.010010208
t	0.002325463	0.009443003	0.025010897	0.015476712	0.92862976	0.002472036	0.016642064
a	0.004543354	0.026166396	0.011484818	0.20105436	0.37228614	0.029693257	0.3547717
l	0.0064188754	0.011108441	0.027375124	0.005034604	0.76872325	0.019145401	0.16219433
à	0.0024876862	0.018393649	0.019777553	0.018813588	0.19796273	0.33189973	0.41066504
c	0.018210169	0.010985039	0.02120481	0.00581767	0.15477751	0.59543717	0.19356768
h	0.053237833	0.066112526	0.12887925	0.004488448	0.12105313	0.036511015	0.5897178
a	0.2017795	0.0060684206	0.0046527227	0.05972376	0.25990063	0.26055405	0.20732093
n	0.0004509297	0.0009589277	0.0018989422	0.0012371404	0.064329036	0.008877339	0.92224765
a	0.015281033	0.05859749	0.027666483	0.053844895	0.081828155	0.021338426	0.7414435
</S>	0.00359296	0.0023616098	0.0074417125	0.0005367008	0.03883096	0.024021432	0.9232147
