 	aveva	lavorato	tutta	la	settimana	</S>
ì	0.9750811	0.024206735	0.00065619824	2.8570708e-05	3.1489567e-06	2.434747e-05
c	0.8997255	0.075321056	0.0042125313	0.0048782914	0.00080185157	0.0150607
h	0.07813352	0.88521665	0.01461378	0.0025264076	0.00023372805	0.019275937
e	0.022501038	0.966061	0.009558756	0.0011897192	6.188895e-05	0.00062754547
p	0.006801861	0.9915535	0.0015385472	7.4172895e-05	1.7627514e-06	3.0189782e-05
o	0.0040178793	0.97889084	0.01533834	0.0012815382	1.2676929e-05	0.00045873562
l	0.028363923	0.7743786	0.18458436	0.010752258	3.675326e-05	0.0018841507
e	0.011578838	0.918356	0.056781486	0.0035663461	9.179434e-05	0.0096257385
m	0.010112303	0.04039931	0.8792444	0.06902101	0.000142681	0.0010802912
ì	0.02355377	0.48407918	0.4398437	0.020170715	0.00016002232	0.032192636
s	0.03010622	0.014447396	0.8381111	0.11373178	0.0006535088	0.002950006
o	0.012502568	0.09368475	0.841244	0.033003915	0.00037283415	0.01919195
n	0.004880115	0.012895187	0.25774688	0.7199204	0.0020014148	0.0025559978
t	0.072298795	0.15906282	0.53712356	0.16673878	0.0020011743	0.062774844
a	0.0043002446	0.022276893	0.5629486	0.34628567	0.019931687	0.044256885
ò	0.0028802273	0.012203898	0.15571335	0.7787234	0.024401015	0.02607812
l	0.0077318386	0.0019542906	0.018005598	0.90174884	0.03866808	0.031891298
i	0.22741713	0.013488449	0.06229619	0.32892922	0.18427674	0.18359229
t	0.010643344	0.0018971877	0.012414148	0.41238928	0.33840626	0.22424978
i	0.076360755	0.011846373	0.042999938	0.23763959	0.14161827	0.48953515
n	0.011721813	0.00203786	0.014502357	0.20724444	0.39343128	0.37106228
a	0.17484501	0.023018893	0.039952077	0.059971657	0.1922206	0.50999177
d	0.020910202	0.0020457993	0.009293889	0.08239411	0.5191863	0.36616972
d	0.0851239	0.011129567	0.02787701	0.05092247	0.19531192	0.62963516
o	0.061099224	0.010105287	0.05561487	0.03675978	0.62097186	0.21544905
m	0.004189677	0.0012647078	0.006320823	0.06531903	0.13186492	0.7910409
à	0.058555383	0.014756643	0.062040277	0.030662822	0.50169665	0.3322882
d	0.0051995744	0.0007392626	0.002394382	0.018414922	0.08164262	0.8916092
a	0.062431965	0.010008405	0.042357992	0.03188669	0.45644048	0.3968745
</S>	0.0037405454	0.00067069975	0.0036829854	0.02986052	0.08385107	0.87819415
