 	li	vestono	i	genitori	</S>
t	0.9999385	2.5246693e-05	1.7762912e-05	6.315976e-07	1.7892755e-05
u	0.83908796	0.012211113	0.017265659	0.022300093	0.10913518
s	0.92513156	0.07222502	0.00056851754	5.3449137e-05	0.002021411
i	0.6044131	0.1637688	0.019194722	0.0044143707	0.208209
n	0.50973326	0.48408285	0.005292098	7.017894e-05	0.00082164875
d	0.10943352	0.5068481	0.02609452	0.009679525	0.34794438
ì	0.76195955	0.07980905	0.13351525	0.011713227	0.0130028995
n	0.28237882	0.6322341	0.07485859	0.00037170685	0.01015677
n	0.08140124	0.31781507	0.323651	0.13329975	0.14383288
o	0.48054522	0.15513776	0.27956158	0.035363484	0.04939199
n	0.104830936	0.041532993	0.8341691	0.0032681332	0.016198864
e	0.022847442	0.07735598	0.41224214	0.3258828	0.16167168
i	0.09644556	0.03650603	0.8237815	0.030916885	0.012349989
g	0.030495705	0.089491606	0.7728588	0.07115911	0.03599473
e	0.05321711	0.117677696	0.39077684	0.27674824	0.16158009
n	0.22627817	0.121860005	0.33095506	0.15774053	0.16316625
i	0.006437543	0.010266035	0.05774031	0.784749	0.14080714
t	0.14225751	0.09801264	0.21759202	0.37456277	0.16757508
ò	0.002755239	0.007915078	0.037909873	0.8298032	0.121616535
r	0.027830822	0.010722352	0.02691525	0.8722043	0.0623273
i	0.007088995	0.008874915	0.056258712	0.76321197	0.16456531
</S>	0.009998592	0.0039486573	0.034254473	0.03996592	0.9118324
