 	lo	ho	finito	di	fare	</S>
t	0.9962644	0.00366009	5.3575553e-05	9.337155e-06	1.291154e-06	1.1300759e-05
o	0.782919	0.009263247	0.016365029	0.020562645	0.09023054	0.08065956
s	0.7892423	0.14418507	0.052507352	0.002589491	0.001374456	0.010101284
p	0.25700045	0.14430332	0.13474198	0.04105659	0.05500295	0.36789474
ì	0.2840064	0.18747984	0.41145158	0.078284904	0.025741681	0.0130356625
c	0.08693084	0.21634	0.6584838	0.022393014	0.0016380213	0.014214286
c	0.0064794663	0.012686757	0.69027257	0.034617778	0.07831599	0.17762747
e	0.04989176	0.030090928	0.4728022	0.08800685	0.23310894	0.12609927
t	0.37238112	0.07125338	0.34128544	0.21233162	0.0010195422	0.0017288757
s	0.0019473913	0.005464582	0.91974574	0.02751623	0.024111314	0.02121481
a	0.25242823	0.0114819845	0.07403084	0.47994423	0.14840771	0.03370705
a	0.01063077	0.008443765	0.029721742	0.89026135	0.0151678845	0.045774464
t	0.0019113346	0.008824416	0.005886028	0.48583984	0.4502515	0.04728686
s	0.0026419742	0.016652167	0.012176179	0.071621686	0.6493253	0.24758263
è	0.013277684	0.0075780656	0.04311848	0.11522411	0.49712226	0.32367945
k	0.008805414	0.013237554	0.003439456	0.106019616	0.5534598	0.31503808
à	0.006867066	0.06771178	0.09716791	0.1136806	0.3962086	0.31836408
m	0.04882803	0.057622653	0.006013515	0.055134404	0.53939384	0.29300755
i	0.0027400935	0.037020948	0.035881758	0.053935274	0.5003069	0.37011504
</S>	0.0087231025	0.012514367	0.0018221254	0.0677821	0.19689	0.7122683
