 	non	aveva	dove	a	stare	</S>
e	0.99617285	0.0029116294	0.0007989475	3.0002577e-05	7.2831485e-06	7.936154e-05
n	0.7335138	0.24210908	0.004869833	0.0022266184	0.002189741	0.01509099
ì	0.07750036	0.7810559	0.0119547825	0.0012713451	0.0014902519	0.12672748
c	0.008314306	0.9666027	0.010656993	0.00017617895	0.0041626142	0.010087288
h	0.32044187	0.03163843	0.16728131	0.013378708	0.023544028	0.44371575
e	0.09452866	0.20460263	0.6485663	0.015564493	0.023734193	0.0130037395
p	0.0024372982	0.0078076893	0.97204596	0.011966009	0.0015522284	0.0041907486
u	0.012138298	0.0112362765	0.76330894	0.122859545	0.065130256	0.02532667
s	0.0067359623	0.0019735931	0.10405968	0.81937337	0.037099924	0.030757388
t	0.00042133842	0.024964785	0.087969035	0.121434204	0.6440075	0.121203154
a	0.024156261	0.0055315276	0.027088942	0.7297861	0.090455435	0.12298178
t	0.00076897367	0.003222265	0.036598496	0.33715907	0.33795872	0.28429246
ì	9.582543e-05	0.004765529	0.0071553667	0.027669843	0.7620435	0.19827005
</S>	0.0012576756	0.0051650554	0.007731533	0.010461762	0.35358626	0.62179774
