 	non	mangiare	la	sera	</S>
m	0.98737353	0.010777985	0.0013863769	2.5753268e-05	0.0004364139
i	0.22055958	0.20623328	0.04135516	0.07023802	0.46161386
f	0.112448856	0.8791752	0.0037891618	0.0008660208	0.0037207948
a	0.28449374	0.34607157	0.05466111	0.04221776	0.27255574
i	0.044597834	0.43634498	0.5111373	0.006755376	0.001164509
o	0.022481877	0.72380966	0.19027789	0.016834889	0.046595752
v	0.029357556	0.501061	0.42257318	0.02324507	0.023763109
r	0.013781957	0.19772285	0.6532488	0.055772953	0.079473495
à	0.0062804115	0.062111277	0.16836596	0.04199614	0.72124624
i	0.089931436	0.11243441	0.54076374	0.21539696	0.041473474
</S>	0.0021617054	0.018936958	0.044825953	0.5339935	0.40008187
