 	l'	ho	sentito	che	veniva	</S>
o	0.9898975	0.0065546823	0.0035269111	1.2128331e-05	1.8686944e-06	6.8479144e-06
n	0.33143374	0.20881158	0.3429416	0.03068792	0.0010505582	0.08507459
ì	0.039474852	0.14971173	0.2610369	0.041002408	0.0015601595	0.50721395
k	0.057665423	0.49995655	0.3488128	0.04773747	0.00091106957	0.04491675
u	0.012590266	0.18066902	0.36613977	0.2562071	0.007046138	0.17734767
s	0.11063762	0.119792305	0.2793818	0.4758687	0.0017057463	0.01261377
a	0.007893965	0.081417814	0.11304234	0.6213396	0.0077881063	0.16851816
k	0.018230306	0.015788695	0.01908219	0.9331113	0.0066918507	0.0070957476
a	0.004332221	0.09102705	0.012911653	0.6570695	0.014332049	0.22032751
è	0.05836349	0.04822442	0.019794574	0.71002895	0.085476235	0.07811235
r	0.03097331	0.04613694	0.026130132	0.41987437	0.35325587	0.12362934
k	0.0016534167	0.066861406	0.012166112	0.40494984	0.26816112	0.24620807
a	0.02280751	0.15159456	0.07433445	0.13432653	0.5843382	0.03259876
t	0.0026362357	0.009842574	0.005878329	0.050774448	0.6833286	0.24753976
o	0.0007343889	0.011028558	0.007941353	0.022897253	0.8659999	0.09139854
</S>	0.007438106	0.017400507	0.005130585	0.026848549	0.23950227	0.7036799
