 	io	non	ho	cosa	da	mangiare	</S>
e	0.99537885	0.002812995	0.0017162221	8.360821e-05	1.6920952e-06	3.5949597e-07	6.137332e-06
v	0.94873375	0.025083704	0.008581895	0.0018257835	0.0020016455	0.0041413126	0.0096319355
ò	0.8251838	0.09869591	0.021575604	0.0024889119	0.0011121144	0.00053234946	0.05041125
e	0.42219895	0.48785368	0.06785917	0.004075408	0.0017431884	0.00090346416	0.015366112
n	0.096979074	0.6941528	0.13715819	0.018718805	0.01701853	0.0056527997	0.030319793
è	0.057192527	0.24128139	0.13270205	0.0845938	0.05326144	0.029975364	0.4009935
c	0.12203597	0.4056426	0.3765675	0.065829016	0.019942887	0.0019721508	0.0080099115
h	0.12938993	0.10665486	0.07070685	0.075428545	0.025505522	0.025443664	0.5668706
o	0.028918106	0.0017575114	0.028097121	0.92536086	0.009301447	0.0037784164	0.0027865877
t	0.02350672	0.005813243	0.057996843	0.7422011	0.15049788	0.011386174	0.008598138
i	0.0051422445	0.0063673286	0.016897472	0.45144963	0.147264	0.07097238	0.30190688
è	0.019752318	0.006884434	0.022623748	0.052160196	0.7989534	0.08763584	0.011990108
n	0.009592153	0.004200572	0.009614097	0.03799781	0.6752329	0.22720763	0.036154866
a	0.0026522742	0.006640811	0.014306474	0.017121824	0.4545088	0.38250306	0.122266755
f	0.012449287	0.009729916	0.018393274	0.011575401	0.15526128	0.631465	0.16112581
à	0.0021289047	0.008552536	0.023590552	0.008851909	0.09422507	0.54989755	0.31275347
o	0.02968228	0.026378147	0.031785488	0.018139405	0.06464814	0.7231798	0.106186815
</S>	0.0022711107	0.0022839517	0.0037416818	0.0052859574	0.02656108	0.35127681	0.60857946
