 	se	vieni	a	casa	ogni	sabato	</S>
a	0.87609184	0.11836465	0.004805364	0.00045728756	3.022767e-05	4.3070115e-05	0.00020759736
n	0.07429477	0.89477533	0.00932548	0.0043555284	0.0042956807	0.0002566464	0.012696604
è	0.024238305	0.88395274	0.0081737405	0.0036094305	0.0013910487	9.65766e-05	0.0785381
r	0.033802025	0.9148459	0.022270234	0.0088079395	0.0030107237	0.00039302828	0.016870134
t	0.018958561	0.7316053	0.05679554	0.013442248	0.0070029236	0.0020058232	0.17018963
i	0.030422997	0.34366465	0.55126876	0.058055308	0.008828497	0.0005757185	0.0071840943
è	0.0048380042	0.060489967	0.55530953	0.3581131	0.008482181	0.00024847273	0.012518867
s	0.00084580795	0.00926496	0.06088093	0.8686315	0.053976208	0.00022893946	0.006171579
s	0.0066966093	0.006858587	0.26309094	0.54201794	0.08265839	0.007924557	0.090753004
u	0.007696443	0.028763022	0.23789081	0.6286415	0.034568362	0.0032905694	0.059149332
k	0.0011520137	0.0134940855	0.019045688	0.2805154	0.62966746	0.005104936	0.051020432
u	0.0069796746	0.01819089	0.06849456	0.6406572	0.13927117	0.030702254	0.09570425
à	0.004604061	0.003878944	0.0031700758	0.017061455	0.81898856	0.14422132	0.008075545
i	0.0001902065	0.00054849236	0.0011463067	0.0033759696	0.9464684	0.030609593	0.017661087
s	0.0004432233	0.00037417677	0.00100738	0.0068344967	0.473835	0.40771395	0.10979177
à	0.0020804885	0.0009590672	0.0051809116	0.024906257	0.2780483	0.52388245	0.16494253
m	0.0033752422	0.004436044	0.007821108	0.0043362593	0.1698251	0.73533505	0.074871235
b	0.00041791942	0.00029600973	0.0015103437	0.0064804694	0.031426225	0.93686324	0.02300578
a	0.013047968	0.0025174483	0.038042434	0.028849328	0.09093176	0.7993403	0.027270839
</S>	0.00019998918	0.00050262606	0.0010580467	0.008154709	0.05292058	0.082091175	0.8550729
