 	mia	figlia	vuole	andare	</S>
i	0.99985695	9.894095e-05	1.1219125e-06	1.0853383e-06	4.198551e-05
k	0.81896377	0.1454927	0.002706822	0.013791752	0.019044995
i	0.7695004	0.11152547	0.0037098455	0.0039338735	0.11133055
a	0.3190719	0.6726926	0.00079249963	0.00075934705	0.006683634
t	0.12093225	0.8632824	0.00404576	0.0022557098	0.009483861
è	0.14441486	0.77747995	0.0127741285	0.0027131343	0.06261802
r	0.018061662	0.977409	0.0043973736	2.0244823e-05	0.00011174182
a	0.021863528	0.88441545	0.03853357	0.012703818	0.042483572
m	0.2650419	0.6749637	0.056513123	0.0015818399	0.0018995776
u	0.008526135	0.7206723	0.15156257	0.033288006	0.08595088
i	0.097048365	0.6799441	0.20842205	0.009293202	0.0052922945
t	0.014808951	0.17853698	0.76959676	0.03068338	0.0063738558
è	0.00519267	0.08405746	0.86031836	0.022883903	0.027547691
l	0.018283263	0.01629561	0.92078364	0.03706351	0.0075739897
i	0.0027964686	0.04490562	0.32231206	0.4617378	0.16824807
n	0.010288405	0.04283288	0.009416523	0.7954518	0.14201038
a	0.005036339	0.029507805	0.20725162	0.5323743	0.22582987
p	0.014845809	0.03657391	0.010818044	0.8575326	0.080229625
à	0.002124626	0.003636164	0.00702876	0.85299724	0.13421316
i	0.019545352	0.009189282	0.010432362	0.8968395	0.06399354
</S>	0.0017919107	0.0038972122	0.015212116	0.76553065	0.21356815
