 	forse	stanno	ancora	svegli	</S>
f	0.9996755	0.00031157664	6.1573264e-06	8.397395e-08	6.5617323e-06
ò	0.9873935	0.004009309	0.0026723044	0.0025602002	0.0033646473
r	0.984117	0.0092060445	0.0019256601	0.00017320333	0.004578297
s	0.940358	0.010944663	0.004173074	0.0031726928	0.04135151
i	0.6909104	0.30566186	0.0030517685	4.220605e-06	0.00037167585
s	0.13060191	0.86701125	0.001963908	4.535329e-06	0.0004184178
t	0.05170401	0.8719305	0.058015965	0.0035077124	0.014841792
è	0.047398057	0.931797	0.019822598	3.3029413e-05	0.0009494137
o	0.043973505	0.93867606	0.015721738	8.654884e-06	0.001620159
n	0.015112371	0.33023772	0.5825849	0.043520037	0.02854495
e	0.017203663	0.2165502	0.5202015	0.053610187	0.19243446
a	0.051384132	0.04426274	0.88699996	0.0023782009	0.014974985
n	0.002781055	0.008136643	0.6146639	0.3360124	0.03840602
k	0.0054454496	0.007852999	0.7049107	0.15621963	0.12557125
ò	0.2819188	0.14069845	0.36575982	0.00704677	0.20457616
r	0.0694074	0.06344725	0.79851365	0.02201318	0.046618503
a	0.0058199978	0.031706516	0.8292583	0.10595725	0.027257899
a	0.058991253	0.04999506	0.77598906	0.023020554	0.09200407
t	0.0006441537	0.0010895886	0.016276991	0.8834494	0.098539874
s	0.0010592057	0.0016459491	0.018312836	0.96227366	0.01670841
ù	0.023271285	0.021009263	0.077249885	0.11681122	0.7616584
n	0.013825969	0.008558222	0.022562087	0.8937953	0.061258327
n	0.0044829887	0.018856483	0.08530152	0.79865307	0.09270592
i	0.0713015	0.057379693	0.39447674	0.3779065	0.09893561
t	0.0036098338	0.0027153147	0.016481355	0.4636299	0.51356363
i	0.006371511	0.024382548	0.061864976	0.86370057	0.043680456
</S>	0.0023872098	0.0015647487	0.014605349	0.032621622	0.9488211
