 	lo	posso	finire	di	fare	</S>
t	0.9948512	0.0051313257	7.5608486e-06	2.5793865e-06	6.70544e-07	6.671936e-06
o	0.759549	0.1609237	0.0064676404	0.0076862834	0.02910967	0.036263693
s	0.65955985	0.33486316	0.0027662776	0.0002100549	0.00024422468	0.0023564093
ò	0.14860675	0.76975936	0.009588635	0.0057614082	0.007314017	0.058969848
z	0.3524605	0.568859	0.074182615	0.0006171434	0.00026725	0.0036134948
o	0.080802396	0.37523335	0.19512266	0.019903885	0.07435447	0.2545832
s	0.2618474	0.30834103	0.42106894	0.00775634	0.00012720929	0.0008590481
p	0.0147141805	0.19913402	0.7199622	0.018272642	0.0138301235	0.03408678
i	0.3795409	0.06427694	0.29788375	0.09571601	0.14378738	0.018795086
c	0.070461966	0.123702355	0.7378783	0.057588447	0.0007874695	0.00958153
c	0.008141033	0.022867918	0.68001324	0.0520387	0.120797366	0.11614172
è	0.084553055	0.075643584	0.52779657	0.08728116	0.08246286	0.14226276
t	0.08048418	0.036098894	0.26027876	0.6085624	0.004100694	0.01047501
s	0.0020897998	0.024439031	0.84431416	0.092088416	0.024708852	0.012359748
i	0.06138745	0.0059765303	0.17955069	0.31048205	0.38636744	0.0562359
t	0.00925353	0.014088259	0.020231111	0.76191217	0.0775222	0.11699276
s	0.0031973585	0.028980328	0.38029388	0.1378805	0.2671247	0.1825232
è	0.026983077	0.005720645	0.031417765	0.24195561	0.5861075	0.10781533
k	0.0038908704	0.0030227117	0.0036546083	0.13534749	0.565596	0.28848833
à	0.012531094	0.1559082	0.17087603	0.20330946	0.2990437	0.15833153
m	0.063205816	0.03032757	0.008135386	0.07144786	0.47744372	0.34943956
i	0.0054217554	0.05101053	0.039543584	0.061377127	0.47987413	0.36277282
</S>	0.00864564	0.005851874	0.0023928916	0.05035664	0.16522539	0.7675276
