 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.96439373	0.0305172	0.0030731093	0.0014471639	0.00045239893	1.1404321e-05	8.962225e-05	4.3696455e-06	8.7269643e-07	1.0107774e-05
n	0.7575004	0.0668897	0.042240802	0.043138314	0.03960962	0.034348957	0.002339436	0.005419831	0.0016729308	0.0068400824
è	0.4425616	0.26357698	0.09422357	0.034359675	0.025039032	0.018041987	0.0004133133	0.0008342484	0.00013170982	0.12081781
g	0.26308706	0.5291133	0.08057556	0.06896132	0.04539561	0.0037753934	0.0007121596	0.001203534	7.192934e-05	0.0071041933
r	0.10866374	0.1956882	0.3460924	0.05640839	0.045633633	0.039358247	0.0012027175	0.0033553657	0.0010466585	0.20255062
a	0.03123742	0.06924628	0.3687692	0.29973534	0.1672727	0.01416624	0.004950696	0.007902149	0.0024972167	0.034222778
t	0.036904957	0.06885363	0.35619068	0.5153367	0.022259455	0.00030895323	5.4641554e-05	4.0806703e-05	1.1996782e-05	3.821674e-05
s	0.012661702	0.050629355	0.3943742	0.2943868	0.08497476	0.076719366	0.0013985818	0.0031901305	0.00248994	0.07917528
a	0.023472708	0.0037069947	0.09532034	0.76322913	0.07704418	0.0012059523	0.03022014	0.0030531553	0.00021485337	0.0025325997
m	0.0053273854	0.011768376	0.019662796	0.8818832	0.079931065	0.00086891826	9.6948046e-05	0.0001914007	1.4690989e-05	0.0002551222
à	0.0068891146	0.03251743	0.044562414	0.5379705	0.16405092	0.08470424	0.0075376383	0.01155115	0.013496029	0.09672051
i	0.004368036	0.0036463556	0.0040297015	0.5248214	0.45545557	0.0072327955	0.00021124358	0.00016435482	1.7120858e-05	5.343616e-05
è	0.00088894326	0.0031286578	0.0014302118	0.09277173	0.78621083	0.10603365	0.0015862791	0.0060275183	0.00053942046	0.0013827449
n	0.008013156	0.012102678	0.0040189675	0.09589052	0.801292	0.054162286	0.011812368	0.008410684	0.00041384363	0.0038834515
a	0.0015234804	0.0050370456	0.0022956356	0.035470203	0.44032234	0.4706459	0.0069665257	0.0111093195	0.015410596	0.011219004
g	0.0022554414	0.008244104	0.0013885621	0.02619144	0.43241584	0.3685965	0.085630305	0.07071217	0.0015753073	0.0029902763
r	0.0022655257	0.01086478	0.0033668096	0.009136318	0.0769046	0.7046289	0.083206765	0.051991634	0.019630807	0.038003936
à	0.0043804552	0.033431	0.0037621802	0.020194119	0.060236145	0.08809387	0.38219658	0.06725861	0.019724978	0.32072207
m	0.004935346	0.004381812	0.0036442776	0.0054081026	0.017809445	0.40857363	0.18328863	0.36114034	0.006676097	0.004142362
m	0.0059075565	0.033342477	0.0051001753	0.0037933795	0.010576469	0.43746454	0.12756538	0.03804745	0.26231918	0.07588347
a	0.0058085225	0.0027953803	0.0025287885	0.0027728293	0.0031563484	0.002040127	0.87875956	0.02102029	0.049065016	0.032053124
s	0.0011162083	0.0017583631	0.000690402	0.0057284967	0.02288645	0.025717549	0.14820926	0.7023315	0.02183157	0.06973016
o	0.0037225084	0.031380765	0.0054884707	0.0053443434	0.0072760917	0.09012059	0.16469261	0.066183046	0.3007996	0.324992
n	0.0042298897	0.0053765094	0.0023778875	0.004125178	0.01059498	0.018451013	0.037628546	0.7877599	0.10045346	0.02900256
a	0.003955823	0.0411069	0.0051605054	0.005089643	0.009480395	0.03424956	0.024499042	0.16361085	0.576003	0.13684428
d	0.0073772324	0.009622317	0.00455223	0.005866867	0.010533745	0.011875099	0.019744916	0.62860954	0.22682577	0.07499226
e	0.0023895716	0.025721377	0.0024203795	0.0037218782	0.007826299	0.0111986725	0.011542751	0.13234442	0.63476515	0.16806951
r	0.005533814	0.010472381	0.0034922685	0.0064537297	0.011600904	0.005900852	0.01568709	0.4096052	0.30463755	0.22661616
f	0.0018703412	0.019467212	0.002122389	0.0015608585	0.0026146255	0.0057533584	0.003040054	0.029624848	0.89045584	0.043490387
ò	0.02991628	0.09179862	0.020553729	0.024780368	0.011411934	0.006526423	0.09074137	0.10136781	0.36146134	0.2614421
m	0.0042236885	0.0034560366	0.0031355657	0.0022643183	0.0034215709	0.006570776	0.00777635	0.10376617	0.48565888	0.3797267
m	0.0034624764	0.024265584	0.0030996026	0.0013725105	0.0010744343	0.006388424	0.0032238793	0.019251185	0.8496432	0.08821879
u	0.017485028	0.0062001487	0.00893461	0.008132449	0.003073004	0.0017171227	0.09187634	0.035948355	0.7523144	0.07431849
</S>	0.0006557956	0.0011205996	0.00037827235	0.0007199635	0.0020814824	0.0021568185	0.0045378287	0.03506166	0.039789602	0.913498
