 	ancora	non	mi	sono	vestito	</S>
a	0.9181037	0.07066812	0.009272894	0.0013400812	5.1511306e-05	0.00056381203
n	0.9352256	0.03630329	0.005975223	0.0022363428	0.003301413	0.01695823
k	0.77836883	0.13056223	0.012541462	0.002168138	0.0016222096	0.07473716
ò	0.1202768	0.13368401	0.46125022	0.18469688	0.072881915	0.027210182
r	0.55950946	0.35531124	0.07381427	0.003674889	0.0004675023	0.007222583
a	0.38839558	0.0843728	0.18413202	0.09391042	0.13087852	0.11831058
e	0.21259457	0.08340251	0.46781245	0.23104063	0.003945485	0.0012043521
n	0.073799014	0.124064155	0.27817386	0.2094944	0.26914573	0.045322806
e	0.11541553	0.10606038	0.13560395	0.24636917	0.22152375	0.17502727
n	0.09557082	0.14337468	0.13126747	0.32855213	0.13275763	0.16847731
d	0.009154394	0.0055834926	0.016890218	0.06155364	0.7631348	0.1436835
ì	0.07120404	0.014362394	0.09216776	0.3913336	0.30892244	0.12200967
s	0.010834415	0.024180742	0.037143104	0.24383412	0.49738553	0.18662207
i	0.014023579	0.009315255	0.02473993	0.32359168	0.40944266	0.21888691
m	0.022731192	0.027934553	0.041578166	0.05946345	0.107295476	0.74099714
o	0.0016097522	0.001385761	0.00712204	0.03402622	0.6810912	0.2747651
</S>	0.006473809	0.010406299	0.007925027	0.012077195	0.17768088	0.7854368
