 	mi	si	gonfiò	il	dito	</S>
m	0.977557	0.013559633	0.008852336	7.5020494e-06	5.931826e-06	1.7551534e-05
u	0.20500845	0.033026986	0.6617413	0.019090774	0.0053864205	0.07574614
b	0.104722805	0.15001129	0.7420904	0.0009911632	0.0002702046	0.0019141517
r	0.06020188	0.04906568	0.84924823	0.0053667277	0.00032404964	0.035793442
i	0.18709597	0.017628951	0.7914658	0.0015650411	8.684712e-05	0.0021572856
s	0.061775085	0.10555805	0.81888306	0.009463565	0.00016300008	0.0041572927
t	0.0055969325	0.012138624	0.9449109	0.009029142	0.0019533918	0.026371019
ì	0.034197263	0.0054121357	0.94057167	0.013568453	0.0005904728	0.0056600226
o	0.0129877785	0.022859396	0.67855066	0.2558547	0.0014585962	0.02828891
d	0.0023440262	0.007497765	0.112349905	0.8668652	0.0048440937	0.0060990015
à	0.0066266204	0.008295023	0.10124951	0.7963549	0.0068217544	0.08065212
t	0.012052819	0.008825232	0.0071628685	0.95290756	0.016311103	0.0027404714
t	0.0056874896	0.01026577	0.012452433	0.44162408	0.4492028	0.080767445
i	0.24166726	0.008576007	0.1069749	0.4698632	0.099047616	0.07387099
l	0.003901645	0.004784409	0.055494636	0.28995284	0.42417523	0.22169127
o	0.0026970843	0.00567378	0.0400826	0.05138674	0.82385343	0.076306365
</S>	0.028836412	0.023161639	0.01143826	0.2395278	0.23759513	0.45944074
