 	non	mi	aspetti	che	non	vengo	</S>
m	0.98619545	0.012620821	0.0010968255	5.7532056e-05	1.1646263e-05	2.3611084e-07	1.752117e-05
ì	0.21568342	0.056071386	0.68636495	0.003391176	0.0031584015	0.016860217	0.01847052
m	0.5659427	0.37347895	0.019999154	0.0022143556	0.0033530435	0.00256913	0.032442622
e	0.25008315	0.25752085	0.46679258	0.0036072205	0.0017988915	0.0064480496	0.0137492735
m	0.020910703	0.8326894	0.13593054	0.010043528	0.00031161073	1.0672225e-05	0.00010347225
ì	0.004858747	0.076323695	0.8939545	0.013844695	0.0031092393	0.0020626292	0.005846549
n	0.07531092	0.6419583	0.11450196	0.16309296	0.0042035775	0.00011391321	0.0008183937
i	0.005901897	0.10839588	0.8240864	0.041452665	0.007330943	0.004859653	0.007972533
k	0.043567747	0.11625858	0.015954463	0.7994196	0.022541624	0.0006619534	0.0015960124
a	0.0026578559	0.09281271	0.60633224	0.16905119	0.035052214	0.052728888	0.04136491
e	0.012986447	0.043776885	0.010215993	0.5497236	0.3444235	0.01958757	0.019286055
n	0.0045263385	0.029912295	0.009177097	0.13651985	0.5803117	0.1605867	0.07896609
è	0.0027070434	0.019288272	0.00987108	0.027893316	0.25262603	0.6351617	0.052452564
r	0.037145305	0.06856627	0.00047292336	0.041878477	0.32900134	0.50085974	0.022076007
k	0.00051709823	0.004755977	0.0043399823	0.0034012406	0.029421913	0.90667844	0.050885353
o	0.06369546	0.44445425	0.04145166	0.05793954	0.03682576	0.053285114	0.3023482
m	0.0005073517	0.0021549743	0.0003710951	0.0017787842	0.010233229	0.17151937	0.8134352
e	0.0018811567	0.026934445	0.06344574	0.013618038	0.027047496	0.20856534	0.65850776
</S>	0.002870898	0.006814521	0.00023351968	0.0014574493	0.00592982	0.072130054	0.9105637
