 	può	che	sono	ancora	svegli	</S>
i	0.9989312	0.00048188996	0.00057491264	3.831e-06	8.838993e-08	7.976514e-06
s	0.839459	0.017293507	0.0063774115	0.035228122	0.013571956	0.088069946
ò	0.77729666	0.06723571	0.04249389	0.01936093	0.0021557366	0.09145705
z	0.6119687	0.31096298	0.036417164	0.015182796	0.0004993347	0.02496901
i	0.16532871	0.50546795	0.04974181	0.052100863	0.011553246	0.21580735
k	0.15198603	0.22595458	0.6167816	0.0049977126	6.777699e-06	0.0002733654
a	0.039727543	0.5081719	0.29915226	0.09349355	0.009259075	0.050195705
ì	0.14150427	0.057264153	0.7295257	0.06925056	3.3480672e-05	0.0024217982
n	0.06856158	0.07483646	0.52016455	0.31656417	0.00512619	0.014747188
e	0.01764089	0.07902631	0.15296453	0.61434513	0.062978804	0.07304436
a	0.0930047	0.02517252	0.05701933	0.7995223	0.002751985	0.022529108
n	0.031066993	0.023353938	0.02437258	0.4388937	0.43702924	0.045283537
k	0.04849898	0.051124375	0.033990614	0.47962552	0.29630876	0.09045175
ò	0.15699309	0.26066464	0.063405804	0.22295678	0.006526784	0.28945297
r	0.057898566	0.025850277	0.019702028	0.77886814	0.022742279	0.094938695
a	0.009814887	0.03533061	0.043522656	0.75262254	0.12657465	0.032134578
a	0.12633884	0.02301296	0.02230082	0.6957443	0.016730342	0.1158728
t	0.0036997506	0.00508913	0.0023566347	0.015487118	0.877574	0.09579329
s	0.009594848	0.011052142	0.005909318	0.016961502	0.9405047	0.015977459
ù	0.029040152	0.074534245	0.017856423	0.05173823	0.08631587	0.74051505
n	0.030503508	0.03362398	0.01652974	0.022730194	0.8363942	0.060218368
n	0.014051382	0.033611104	0.020906461	0.0640688	0.77319175	0.0941705
i	0.09852131	0.15263537	0.054969065	0.24452698	0.28717625	0.16217104
t	0.007715406	0.0068006814	0.003803729	0.017715946	0.43811792	0.5258463
i	0.0221234	0.025840765	0.034370042	0.053512137	0.80900735	0.05514631
</S>	0.010225537	0.006304732	0.0028624686	0.02074787	0.036491465	0.9233679
