 	è	che	stanno	ancora	svegli	</S>
è	0.98559153	0.0129438955	0.0013670871	3.570304e-05	6.512348e-07	6.095347e-05
n	0.29963714	0.037140436	0.01367804	0.08624551	0.2725647	0.29073417
a	0.2856441	0.18732685	0.033157352	0.024935804	0.029332269	0.43960354
s	0.052635893	0.6025629	0.3382903	0.0049905125	6.992451e-05	0.0014505016
t	0.016181083	0.35928187	0.47200054	0.045885652	0.007812527	0.09883833
a	0.018368488	0.10530183	0.85256183	0.022107765	2.4073031e-05	0.001635954
t	0.022881934	0.08921671	0.87377745	0.0126977675	1.9700334e-05	0.001406452
ù	0.004475039	0.06358679	0.8630653	0.039227825	0.0023319223	0.027313199
n	0.093753844	0.06426167	0.5602841	0.27735993	0.00017257583	0.0041678925
e	0.007087555	0.03302491	0.5769521	0.2814237	0.021244524	0.080267265
a	0.11631161	0.051891573	0.119628206	0.70689136	0.00017494509	0.0051023066
n	0.012291954	0.019142883	0.013961518	0.73539835	0.18354765	0.035657696
k	0.015565465	0.022819303	0.009825937	0.6763552	0.19703792	0.07839619
ò	0.22999132	0.22516216	0.11386264	0.19580112	0.0044576265	0.23072506
r	0.09602975	0.029601581	0.029022448	0.792538	0.008645415	0.04416288
a	0.0058670323	0.02842768	0.06963192	0.7635739	0.10560396	0.026895542
a	0.19193467	0.038142312	0.0327803	0.67093796	0.00860301	0.05760174
t	0.0018832147	0.0029994147	0.00090884545	0.024042802	0.8716604	0.098505326
s	0.0026712096	0.0069203493	0.0014191119	0.022896886	0.94879705	0.017295374
ù	0.033885185	0.055241052	0.013760588	0.035540912	0.08895585	0.77261645
n	0.039641462	0.034830566	0.00744115	0.021965435	0.82971704	0.066404305
n	0.011619333	0.02026579	0.012740832	0.07941876	0.7777463	0.09820891
i	0.120250665	0.08254065	0.067958675	0.24506418	0.3199898	0.164196
t	0.008296015	0.0051896865	0.0017357157	0.015805041	0.4948583	0.47411525
i	0.007061976	0.019716952	0.016012015	0.05397488	0.85161805	0.05161609
</S>	0.018994248	0.007906089	0.0015271412	0.027005127	0.02841718	0.9161503
